Word,lemme,cgram,freq
mon,mon,ADJ,3848.99
ce,ce,ADJ,2739.25
ma,ma,ADJ,2346.9
cette,cette,ADJ,1902.27
votre,votre,ADJ,1894.09
son,son,ADJ,1740.43
ton,ton,ADJ,1723.32
quoi,quoi,ADJ,1558.22
sa,sa,ADJ,1276.29
ta,ta,ADJ,1265.97
ces,ces,ADJ,1222.51
mes,mes,ADJ,1102.23
notre,notre,ADJ,1022.94
deux,deux,ADJ,1009.01
tous,tout,ADJ,910.39
quelque,quelque,ADJ,884.61
bon,bon,ADJ,836.29
sûr,sûr,ADJ,801.64
tout,tout,ADJ,797.55
ses,ses,ADJ,757.68
tes,tes,ADJ,690.24
vrai,vrai,ADJ,678.47
autre,autre,ADJ,668.48
quel,quel,ADJ,657.71
juste,juste,ADJ,653.49
vos,vos,ADJ,649.07
bonne,bon,ADJ,578.93
petit,petit,ADJ,573.72
nos,nos,ADJ,524.63
quelle,quelle,ADJ,512.55
cet,cet,ADJ,499.91
seul,seul,ADJ,461.2
toute,tout,ADJ,441.79
tout,tout,ADJ,440.69
trois,trois,ADJ,380.8
même,même,ADJ,369.32
toutes,tout,ADJ,358.34
petite,petit,ADJ,355.66
seule,seul,ADJ,349.74
grand,grand,ADJ,338.27
quelques,quelques,ADJ,337.35
belle,beau,ADJ,284.08
beau,beau,ADJ,281.23
chaque,chaque,ADJ,246.29
leurs,leurs,ADJ,243.56
jeune,jeune,ADJ,234.9
ok,ok,ADJ,234.89
dernière,dernier,ADJ,224.41
aucune,aucune,ADJ,207
grande,grand,ADJ,198.25
première,premier,ADJ,197.34
possible,possible,ADJ,193.91
désolé,désolé,ADJ,193.51
fou,fou,ADJ,181.51
gros,gros,ADJ,180.91
vieux,vieux,ADJ,180.08
aucun,aucun,ADJ,175.78
nouveau,nouveau,ADJ,170.28
prêt,prêt,ADJ,170.23
important,important,ADJ,168.62
cinq,cinq,ADJ,161.96
heureux,heureux,ADJ,155.8
super,super,ADJ,154.83
facile,facile,ADJ,153.57
nouvelle,nouvelle,ADJ,152.78
quatre,quatre,ADJ,150.93
pauvre,pauvre,ADJ,148.93
malade,malade,ADJ,147.5
premier,premier,ADJ,146.12
dur,dur,ADJ,145.55
dernier,dernier,ADJ,138.57
drôle,drôle,ADJ,138.46
mauvais,mauvais,ADJ,138.04
difficile,difficile,ADJ,135.15
grave,grave,ADJ,134.19
gentil,gentil,ADJ,134.11
d'autres,d'autres,ADJ,133.34
cher,cher,ADJ,130.7
simple,simple,ADJ,124.57
impossible,impossible,ADJ,122.32
sûre,sûr,ADJ,122.03
propre,propre,ADJ,120.61
sale,sale,ADJ,120.13
toute,toute,ADJ,118.32
dix,dix,ADJ,118.29
autres,autre,ADJ,117.61
six,six,ADJ,117.37
bizarre,bizarre,ADJ,117.31
génial,génial,ADJ,115.27
content,content,ADJ,114.75
petits,petit,ADJ,112.92
libre,libre,ADJ,110.36
plein,plein,ADJ,104.57
tranquille,tranquille,ADJ,103.28
passé,passé,ADJ,101.77
jolie,joli,ADJ,101.54
prochaine,prochain,ADJ,100.44
meilleur,meilleur,ADJ,99.59
froid,froid,ADJ,98.43
pareil,pareil,ADJ,95.18
joli,joli,ADJ,94.55
triste,triste,ADJ,93.03
faux,faux,ADJ,90.99
normal,normal,ADJ,90.98
heureuse,heureux,ADJ,88.71
clair,clair,ADJ,88.54
mauvaise,mauvais,ADJ,88.33
vieille,vieux,ADJ,84.59
folle,fou,ADJ,84.38
vraie,vrai,ADJ,83.64
dangereux,dangereux,ADJ,83.48
pire,pire,ADJ,83.22
pleine,plein,ADJ,82.13
compris,compris,ADJ,82.12
désolée,désolé,ADJ,81.19
sérieux,sérieux,ADJ,80.99
rouge,rouge,ADJ,79.7
long,long,ADJ,79.18
magnifique,magnifique,ADJ,78.72
sympa,sympa,ADJ,77.46
exact,exact,ADJ,76.66
terrible,terrible,ADJ,76.56
vivant,vivant,ADJ,76.38
bas,bas,ADJ,73.86
meilleure,meilleur,ADJ,73.69
noir,noir,ADJ,72.2
bonnes,bon,ADJ,71.25
étrange,étrange,ADJ,70.99
grosse,gros,ADJ,70.63
incroyable,incroyable,ADJ,69.22
bons,bon,ADJ,67.97
prêts,prêt,ADJ,67.39
plusieurs,plusieurs,ADJ,66.98
tel,tel,ADJ,66.9
prête,prêt,ADJ,66.25
sept,sept,ADJ,66.07
différent,différent,ADJ,65.42
certain,certain,ADJ,65.2
capable,capable,ADJ,65.15
petites,petit,ADJ,64.5
inutile,inutile,ADJ,64.05
cool,cool,ADJ,63.63
amoureux,amoureux,ADJ,63.41
seuls,seul,ADJ,63.29
jeunes,jeune,ADJ,62.12
stupide,stupide,ADJ,60.06
grands,grand,ADJ,59.52
calme,calme,ADJ,58.78
huit,huit,ADJ,58.47
certains,certains,ADJ,57.58
beaux,beau,ADJ,57.2
horrible,horrible,ADJ,57.16
ridicule,ridicule,ADJ,57.05
quels,quels,ADJ,56.44
mille,mille,ADJ,55.43
merveilleux,merveilleux,ADJ,54.44
riche,riche,ADJ,54.28
mort,mort,ADJ,54.19
longue,long,ADJ,54.12
blanc,blanc,ADJ,53.93
dingue,dingue,ADJ,53.01
arrivé,arrivé,ADJ,52.22
sur,sur,ADJ,52.19
prochain,prochain,ADJ,51.95
