Word,lemme,cgram,freq
pas,pas,ADV,18188.15
ne,ne,ADV,13357.03
n',ne,ADV,8860.45
bien,bien,ADV,4213.78
plus,plus,ADV,4062.45
non,non,ADV,4040.18
oui,oui,ADV,3207.35
ici,ici,ADV,2411.21
si,si,ADV,2107.14
là,là,ADV,2096.53
alors,alors,ADV,1777.65
très,très,ADV,1589.92
aussi,aussi,ADV,1402.33
jamais,jamais,ADV,1360.22
pourquoi,pourquoi,ADV,1348.04
encore,encore,ADV,1176.94
est-ce que,est-ce que,ADV,1159.41
toujours,toujours,ADV,1072.36
tout,tout,ADV,1058.64
maintenant,maintenant,ADV,1028.86
vraiment,vraiment,ADV,968.57
comment,comment,ADV,922.93
même,même,ADV,907.69
peut-être,peut-être,ADV,907.68
trop,trop,ADV,859.54
déjà,déjà,ADV,681.89
mieux,mieux,ADV,651.73
beaucoup,beaucoup,ADV,626
comme,comme,ADV,577.64
ouais,ouais,ADV,533.02
vite,vite,ADV,491.64
moins,moins,ADV,478.75
mal,mal,ADV,453.95
demain,demain,ADV,425.85
assez,assez,ADV,407.75
combien,combien,ADV,390.58
tant,tant,ADV,380.34
aujourd'hui,aujourd'hui,ADV,360.17
tard,tard,ADV,350.38
longtemps,longtemps,ADV,290.36
seulement,seulement,ADV,279.25
enfin,enfin,ADV,265.83
là-bas,là-bas,ADV,263.15
ensemble,ensemble,ADV,253.47
juste,juste,ADV,252.71
peu,peu,ADV,250.97
loin,loin,ADV,248.34
avant,avant,ADV,224.38
hier,hier,ADV,223.77
plutôt,plutôt,ADV,210.4
ainsi,ainsi,ADV,207.68
après,après,ADV,193.68
bientôt,bientôt,ADV,184.96
tellement,tellement,ADV,183.7
presque,presque,ADV,181.81
dehors,dehors,ADV,180.79
d'abord,d'abord,ADV,175.45
en,en,ADV,172.75
fort,fort,ADV,171.91
parfois,parfois,ADV,152.86
autant,autant,ADV,152.16
surtout,surtout,ADV,148.66
depuis,depuis,ADV,147.19
exactement,exactement,ADV,144.62
partout,partout,ADV,141.94
ok,ok,ADV,136.5
souvent,souvent,ADV,135.54
sûrement,sûrement,ADV,133.67
tôt,tôt,ADV,129.98
puis,puis,ADV,129.11
