,lemma,inflectedForm_1,locution
0,acré,acré,
1,adieu,adieu,
2,aglagla,aglagla,
3,ah,ah,
4,aha,aha,
5,ahah,ahah,
6,ahi,ahi,
7,aho,aho,
8,ahou,ahou,
9,ahouahou,ahouahou,
10,ahuro,ahuro,
11,ahé,ahé,
12,alerte,alerte,
13,allah,allah,
14,allez,allez,
15,allez donc,allez donc,oui
16,allo,allo,
17,alléluia,alléluia,
18,allô,allô,
19,amen,amen,
20,arrière,arrière,
21,atchoum,atchoum,
22,attention,attention,
23,au revoir,au revoir,oui
24,aïe,aïe,
25,badaboum,badaboum,
26,bagasse,bagasse,
27,bah,bah,
28,banco,banco,
29,bang,bang,
30,barbe,barbe,
31,barca,barca,
32,bardaf,bardaf,
33,bast,bast,
34,basta,basta,
35,baste,baste,
36,berk,berk,
37,bernique,bernique,
38,beuh,beuh,
39,beurk,beurk,
40,bigre,bigre,
41,bing,bing,
42,bip,bip,
43,bis,bis,
44,bof,bof,
45,bof-bof,bof-bof,
46,bon,bon,
47,bon app',bon app',oui
48,bon appétit,bon appétit,oui
49,bonjour,bonjour,
50,bonne journée,bonne journée,oui
51,bonne nuit,bonne nuit,oui
52,bouffre,bouffre,
53,boufre,boufre,
54,bougre,bougre,
55,bouh,bouh,
56,boum,boum,
57,bravissimo,bravissimo,
58,bravo,bravo,
59,broum,broum,
60,brr,brr,
61,brrr,brrr,
62,bye,bye,
63,bye-bye,bye-bye,
64,byebye,byebye,
65,bé,bé,
66,bédieu,bédieu,
67,capout,capout,
68,caramba,caramba,
69,caramba!,caramba!,
70,carpe diem,carpe diem,oui
71,catastrophe,catastrophe,
72,chiche,chiche,
73,chouette,chouette,
74,chut,chut,
75,chut!,chut!,
76,ciao,ciao,
77,ciel,ciel,
78,clac,clac,
79,clic,clic,
80,coin-coin,coin-coin,
81,comment,comment,
82,corbleu,corbleu,
83,cordieu,cordieu,
84,cotcodac,cotcodac,
85,coucou,coucou,
86,coui-coui,coui-coui,
87,couic,couic,
88,crac,crac,
89,crebleu,crebleu,
90,crébleu,crébleu,
91,cric,cric,
92,cristi,cristi,
93,croc,croc,
94,crotte,crotte,
95,crébleu,crébleu,
96,crédieu,crédieu,
97,crédié,crédié,
98,crénom,crénom,
99,cui-cui,cui-cui,
100,cuic,cuic,
101,cuicui,cuicui,
102,da,da,
103,dame,dame,
104,damnation,damnation,
105,damned,damned,
106,debout,debout,
107,dia,dia,
108,diable,diable,
109,diablezot,diablezot,
110,diantre,diantre,
111,dieu,dieu,
112,ding,ding,
113,dondaine,dondaine,
114,dondon,dondon,
115,dong,dong,
116,drelin,drelin,
117,dring,dring,
118,eh,eh,
119,eh ben,eh ben,oui
120,eh bien,eh bien,oui
121,eh quoi,eh quoi,oui
122,euh,euh,
123,eurêka,eurêka,
124,faridondaine,faridondaine,
125,fi,fi,
126,fichtre,fichtre,
127,fixe,fixe,
128,fla,fla,
129,flac,flac,
130,flic,flic,
131,flic-flac,flic-flac,
132,floc,floc,
133,flon,flon,
134,flop,flop,
135,flûte,flûte,
136,foin,foin,
137,fouchtra,fouchtra,
138,foutredieu,foutredieu,
139,frou,frou,
140,gai,gai,
141,gaie,gaie,
142,gare,gare,
