Word,lemme,cgram,freq
chose,chose,NOM,1321.79
temps,temps,NOM,1031.05
vie,vie,NOM,986.59
fois,fois,NOM,899.25
peu,peu,NOM,894.78
père,père,NOM,879.31
dieu,dieu,NOM,852.91
monde,monde,NOM,823.62
femme,femme,NOM,806.57
homme,homme,NOM,781.11
accord,accord,NOM,761.77
besoin,besoin,NOM,758.04
ans,an,NOM,718.17
mère,mère,NOM,672
jour,jour,NOM,635.22
fille,fille,NOM,627.59
gens,gens,NOM,594.29
monsieur,monsieur,NOM,583.45
maison,maison,NOM,570.3
bonjour,bonjour,NOM,569.88
nuit,nuit,NOM,557.56
soir,soir,NOM,555.85
peur,peur,NOM,551.83
maman,maman,NOM,537.44
nom,nom,NOM,528.17
argent,argent,NOM,515.04
fils,fils,NOM,480.15
air,air,NOM,473.5
tête,tête,NOM,453.13
choses,chose,NOM,451.83
amour,amour,NOM,450.46
enfants,enfant,NOM,448.33
jours,jour,NOM,426.7
raison,raison,NOM,424.28
heure,heure,NOM,415.4
moment,moment,NOM,403.25
problème,problème,NOM,391.2
coup,coup,NOM,389.49
voiture,voiture,NOM,388.87
fait,fait,NOM,384.71
merci,merci,NOM,378.44
mort,mort,NOM,372.07
travail,travail,NOM,367.43
ami,ami,NOM,360.9
famille,famille,NOM,357.75
hommes,homme,NOM,342.44
chance,chance,NOM,334.02
tout,tout,NOM,330.6
idée,idée,NOM,330.39
mal,mal,NOM,318.27
yeux,oeil,NOM,315.89
mois,mois,NOM,312.31
frère,frère,NOM,311.45
sang,sang,NOM,304.3
part,part,NOM,299.31
histoire,histoire,NOM,295.32
heures,heure,NOM,294.39
question,question,NOM,293.63
eau,eau,NOM,290.61
gars,gars,NOM,289.63
porte,porte,NOM,288.39
putain,putain,NOM,287.83
enfant,enfant,NOM,287.26
main,main,NOM,286.62
type,type,NOM,280.62
cas,cas,NOM,280.59
place,place,NOM,280.54
ville,ville,NOM,277.98
salut,salut,NOM,277.35
terre,terre,NOM,276.29
truc,truc,NOM,274.94
police,police,NOM,274.31
suite,suite,NOM,274.18
matin,matin,NOM,265.03
chambre,chambre,NOM,263.93
revoir,revoir,NOM,262.05
papa,papa,NOM,259.01
mari,mari,NOM,254.92
mec,mec,NOM,252.94
amis,ami,NOM,252.66
côté,côté,NOM,250.51
corps,corps,NOM,250.15
madame,madame,NOM,249.32
train,train,NOM,244.4
femmes,femme,NOM,242.75
coeur,coeur,NOM,224.98
docteur,docteur,NOM,223.48
genre,genre,NOM,219.66
feu,feu,NOM,215.87
filles,fille,NOM,213.97
cause,cause,NOM,213.51
mains,main,NOM,212.97
guerre,guerre,NOM,212.82
façon,façon,NOM,212.6
envie,envie,NOM,210.62
affaire,affaire,NOM,207.5
fin,fin,NOM,207.34
merde,merde,NOM,206.68
reste,reste,NOM,203.1
pays,pays,NOM,202.57
boulot,boulot,NOM,198.68
minutes,minute,NOM,197.45
école,école,NOM,197.04
endroit,endroit,NOM,196.75
film,film,NOM,195.1
peine,peine,NOM,193.42
personne,personne,NOM,190.95
vérité,vérité,NOM,190.21
chef,chef,NOM,189.79
garçon,garçon,NOM,188.41
point,point,NOM,186.7
années,année,NOM,186.61
affaires,affaire,NOM,186.32
semaine,semaine,NOM,186.01
instant,instant,NOM,182.14
partie,partie,NOM,177.81
plaisir,plaisir,NOM,177.4
parents,parent,NOM,177.04
lit,lit,NOM,176.1
droit,droit,NOM,175.6
tour,tour,NOM,175.56
mot,mot,NOM,174.83
bébé,bébé,NOM,173.82
aide,aide,NOM,171.41
musique,musique,NOM,168.89
roi,roi,NOM,166.34
journée,journée,NOM,165.35
faute,faute,NOM,163.19
confiance,confiance,NOM,162.88
numéro,numéro,NOM,162.08
bonsoir,bonsoir,NOM,161.16
chien,chien,NOM,158.77
mariage,mariage,NOM,158.58
café,café,NOM,157.56
attention,attention,NOM,156.9
jeu,jeu,NOM,156.79
bureau,bureau,NOM,156.68
service,service,NOM,156
téléphone,téléphone,NOM,155.68
messieurs,monsieur,NOM,155.66
soeur,soeur,NOM,155.22
verre,verre,NOM,154.13
lieu,lieu,NOM,153.12
route,route,NOM,152.83
capitaine,capitaine,NOM,150.59
âge,âge,NOM,150.45
bras,bras,NOM,149.26
an,an,NOM,148.41
seigneur,seigneur,NOM,147.72
cul,cul,NOM,145.85
paix,paix,NOM,144.86
minute,minute,NOM,144.83
cours,cours,NOM,143.05
prison,prison,NOM,142.97
ciel,ciel,NOM,142.22
avis,avis,NOM,139.22
compte,compte,NOM,138.88
fête,fête,NOM,138.03
retour,retour,NOM,138.02
état,état,NOM,136.81
ordre,ordre,NOM,132.5
esprit,esprit,NOM,131.7
petit,petit,NOM,131.7
président,président,NOM,131.53
voix,voix,NOM,130.83
année,année,NOM,129.64
problèmes,problème,NOM,128.87
faim,faim,NOM,127.49
rue,rue,NOM,127.35
pas,pas,NOM,127.06
honneur,honneur,NOM,126.78
prix,prix,NOM,126.55
hôpital,hôpital,NOM,126.08
retard,retard,NOM,125.65
visage,visage,NOM,125.52
vieux,vieux,NOM,124.54
face,face,NOM,124.33
oncle,oncle,NOM,124.11
photo,photo,NOM,122.47
patron,patron,NOM,122.44
âme,âme,NOM,122.22
bout,bout,NOM,121.12
soleil,soleil,NOM,120.72
dollars,dollar,NOM,120.22
général,général,NOM,119.61
plan,plan,NOM,119.54
maître,maître,NOM,118.88
gueule,gueule,NOM,118.45
questions,question,NOM,118.19
équipe,équipe,NOM,118
sens,sens,NOM,117.57
cheveux,cheveu,NOM,116.16
lumière,lumière,NOM,116.02
rapport,rapport,NOM,115.57
bois,bois,NOM,115.56
propos,propos,NOM,115.21
arme,arme,NOM,114.4
chemin,chemin,NOM,114.34
amie,ami,NOM,113.54
choix,choix,NOM,113.35
sécurité,sécurité,NOM,112.69
livre,livre,NOM,112.43
médecin,médecin,NOM,112.35
voyage,voyage,NOM,112.19
table,table,NOM,111.44
salle,salle,NOM,111.1
pièce,pièce,NOM,110.66
fond,fond,NOM,110.07
or,or,NOM,109.96
début,début,NOM,109.88
fric,fric,NOM,108.99
lettre,lettre,NOM,108.79
courant,courant,NOM,108.69
pieds,pied,NOM,108.57
force,force,NOM,108.29
sujet,sujet,NOM,107.92
hôtel,hôtel,NOM,107.73
bateau,bateau,NOM,106.55
nouveau,nouveau,NOM,106.48
trucs,truc,NOM,106.41
sac,sac,NOM,105.96
camp,camp,NOM,105.92
armes,arme,NOM,105.82
personnes,personne,NOM,105.79
peuple,peuple,NOM,105.65
avion,avion,NOM,105.54
silence,silence,NOM,105.53
pied,pied,NOM,105.51
calme,calme,NOM,105.08
espèce,espèce,NOM,105.04
semaines,semaine,NOM,104.84
mots,mot,NOM,104.72
télé,télé,NOM,104.35
honte,honte,NOM,103.26
colonel,colonel,NOM,102.86
situation,situation,NOM,101.39
erreur,erreur,NOM,101.33
dos,dos,NOM,100.34
accident,accident,NOM,100.11
