Word,lemme,cgram,freq
est,être,VER,19417.69
a,avoir,VER,5498.34
va,aller,VER,3382.55
fait,faire,VER,2751.99
faire,faire,VER,2735.96
sais,savoir,VER,2492.92
veux,vouloir,VER,2486.93
ai,avoir,VER,2475.78
était,être,VER,2356.65
dit,dire,VER,2146.01
es,être,VER,1849.07
suis,suivre,VER,1819.44
peux,pouvoir,VER,1743.78
vais,aller,VER,1644.99
dire,dire,VER,1564.52
sont,être,VER,1449.03
allez,aller,VER,1414.85
voir,voir,VER,1401.1
fais,faire,VER,1390.92
faut,falloir,VER,1318.11
as,avoir,VER,1274.31
peut,pouvoir,VER,1209.64
être,être,VER,1111.69
été,être,VER,1041.22
dis,dire,VER,1025.78
vas,aller,VER,1009.22
êtes,être,VER,1002.88
viens,venir,VER,944.81
vu,voir,VER,905.21
crois,croire,VER,904.45
dois,devoir,VER,894.69
aller,aller,VER,816.76
aime,aimer,VER,751.29
parler,parler,VER,728.02
veut,vouloir,VER,701.19
vois,voir,VER,689.75
suis,être,VER,668.88
eu,avoir,VER,668.39
avez,avoir,VER,661.88
doit,devoir,VER,654.84
étais,être,VER,649.35
regarde,regarder,VER,613.45
avait,avoir,VER,596.64
voulez,vouloir,VER,553.4
faites,faire,VER,541.8
arrive,arriver,VER,525.1
passe,passer,VER,523.58
pense,penser,VER,517.64
allons,aller,VER,500.21
plaît,plaire,VER,499.91
appelle,appeler,VER,485.77
laisse,laisser,VER,479.63
attends,attendre,VER,478.32
sera,être,VER,478.03
prendre,prendre,VER,465.77
arrête,arrêter,VER,456.59
parle,parler,VER,451.68
prends,prendre,VER,431.5
savoir,savoir,VER,421.1
connais,connaître,VER,415.87
voulais,vouloir,VER,415.76
savez,savoir,VER,407.94
avoir,avoir,VER,404.19
sait,savoir,VER,401.46
donne,donner,VER,401.06
partir,partir,VER,388.25
ont,avoir,VER,381.18
pris,prendre,VER,374.6
avais,avoir,VER,373.32
comprends,comprendre,VER,368.53
venir,venir,VER,367.13
pu,pouvoir,VER,366.22
dû,devoir,VER,363.68
aider,aider,VER,362.77
pouvez,pouvoir,VER,353.43
vient,venir,VER,352.24
tuer,tuer,VER,346.18
passer,passer,VER,345.68
chercher,chercher,VER,341.01
trouvé,trouver,VER,339.29
trouver,trouver,VER,324.94
