"Word","lemme","cgram","freqlemlivres"
"n","ne","ADV","13841.89"
"n'","ne","ADV","13841.89"
"ne","ne","ADV","13841.89"
"pas","pas","ADV","8795.14"
"plus","plus","ADV","5014.53"
"bien","bien","ADV","2535.14"
"tout","tout","ADV","1639.19"
"encore","encore","ADV","1579.05"
"aussi","aussi","ADV","1359.86"
"même","même","ADV","1358.65"
"non","non","ADV","1135.81"
"jamais","jamais","ADV","1122.97"
"très","très","ADV","1120.81"
"toujours","toujours","ADV","1093.78"
"là","là","ADV","1089.66"
"alors","alors","ADV","1033.78"
"si","si","ADV","924.93"
"trop","trop","ADV","790"
"moins","moins","ADV","718.18"
"déjà","déjà","ADV","702.23"
"peut-être","peut-être","ADV","697.97"
"oui","oui","ADV","637.57"
"peu","peu","ADV","563.58"
"maintenant","maintenant","ADV","496.76"
"ici","ici","ADV","483.58"
"ainsi","ainsi","ADV","469.46"
"presque","presque","ADV","465.54"
"beaucoup","beaucoup","ADV","461.42"
"loin","loin","ADV","452.36"
"enfin","enfin","ADV","440.27"
"tant","tant","ADV","436.42"
"assez","assez","ADV","420.14"
"mieux","mieux","ADV","398.38"
"seulement","seulement","ADV","397.97"
"pourtant","pourtant","ADV","375.68"
"comme","comme","ADV","365.68"
"autour","autour","ADV","361.55"
"vite","vite","ADV","351.89"
"mal","mal","ADV","349.46"
"ailleurs","ailleurs","ADV","346.35"
"tard","tard","ADV","344.26"
"longtemps","longtemps","ADV","335.54"
"est-ce que","est-ce que","ADV","322.23"
"surtout","surtout","ADV","291.49"
"parfois","parfois","ADV","287.36"
"souvent","souvent","ADV","286.96"
"plutôt","plutôt","ADV","280.74"
"vraiment","vraiment","ADV","274.32"
"puis","puis","ADV","272.77"
"autant","autant","ADV","240.41"
"fort","fort","ADV","212.77"
"en","en","ADV","212.09"
"soudain","soudain","ADV","207.3"
"aussitôt","aussitôt","ADV","189.93"
"pourquoi","pourquoi","ADV","185.54"
"partout","partout","ADV","179.39"
"au-dessus","au-dessus","ADV","176.35"
"bientôt","bientôt","ADV","169.59"
"d'abord","d'abord","ADV","169.32"
"ensuite","ensuite","ADV","169.19"
"tellement","tellement","ADV","168.51"
"comment","comment","ADV","164.93"
"debout","debout","ADV","158.85"
"aujourd'hui","aujourd'hui","ADV","158.24"
"près","près","ADV","156.96"
"lentement","lentement","ADV","156.55"
"ensemble","ensemble","ADV","145.07"
"cependant","cependant","ADV","139.73"
"après","après","ADV","137.23"
"simplement","simplement","ADV","134.32"
"demain","demain","ADV","134.12"
"doucement","doucement","ADV","128.38"
"tôt","tôt","ADV","126.76"
"avant","avant","ADV","117.7"
"là-bas","là-bas","ADV","117.7"
"depuis","depuis","ADV","114.05"
"quelque","quelque","ADV","111.49"
"brusquement","brusquement","ADV","111.42"
