"Word","lemme","cgram","freqlemlivres"
"es","être","VER","15085.47"
"est","être","VER","15085.47"
"furent","être","VER","15085.47"
"fus","être","VER","15085.47"
"fusse","être","VER","15085.47"
"fussent","être","VER","15085.47"
"fusses","être","VER","15085.47"
"fussiez","être","VER","15085.47"
"fussions","être","VER","15085.47"
"fut","être","VER","15085.47"
"fûmes","être","VER","15085.47"
"fût","être","VER","15085.47"
"fûtes","être","VER","15085.47"
"sera","être","VER","15085.47"
"serai","être","VER","15085.47"
"seraient","être","VER","15085.47"
"serais","être","VER","15085.47"
"serait","être","VER","15085.47"
"seras","être","VER","15085.47"
"serez","être","VER","15085.47"
"seriez","être","VER","15085.47"
"serions","être","VER","15085.47"
"serons","être","VER","15085.47"
"seront","être","VER","15085.47"
"soient","être","VER","15085.47"
"sois","être","VER","15085.47"
"soit","être","VER","15085.47"
"sommes","être","VER","15085.47"
"sont","être","VER","15085.47"
"soyez","être","VER","15085.47"
"soyons","être","VER","15085.47"
"suis","être","VER","15085.47"
"étaient","être","VER","15085.47"
"étais","être","VER","15085.47"
"était","être","VER","15085.47"
"étant","être","VER","15085.47"
"étiez","être","VER","15085.47"
"étions","être","VER","15085.47"
"été","être","VER","15085.47"
"êtes","être","VER","15085.47"
"être","être","VER","15085.47"
"a","avoir","VER","6426.49"
"ai","avoir","VER","6426.49"
"aie","avoir","VER","6426.49"
"aient","avoir","VER","6426.49"
"aies","avoir","VER","6426.49"
"ait","avoir","VER","6426.49"
"as","avoir","VER","6426.49"
"aura","avoir","VER","6426.49"
"aurai","avoir","VER","6426.49"
"auraient","avoir","VER","6426.49"
"aurais","avoir","VER","6426.49"
"aurait","avoir","VER","6426.49"
"auras","avoir","VER","6426.49"
"aurez","avoir","VER","6426.49"
"auriez","avoir","VER","6426.49"
"aurions","avoir","VER","6426.49"
"aurons","avoir","VER","6426.49"
"auront","avoir","VER","6426.49"
"avaient","avoir","VER","6426.49"
"avais","avoir","VER","6426.49"
"avait","avoir","VER","6426.49"
"avez","avoir","VER","6426.49"
"aviez","avoir","VER","6426.49"
"avions","avoir","VER","6426.49"
"avoir","avoir","VER","6426.49"
"avons","avoir","VER","6426.49"
"ayant","avoir","VER","6426.49"
"ayez","avoir","VER","6426.49"
"ayons","avoir","VER","6426.49"
"eu","avoir","VER","6426.49"
"eue","avoir","VER","6426.49"
"eues","avoir","VER","6426.49"
"eurent","avoir","VER","6426.49"
"eus","avoir","VER","6426.49"
"eusse","avoir","VER","6426.49"
"eussent","avoir","VER","6426.49"
"eusses","avoir","VER","6426.49"
"eussiez","avoir","VER","6426.49"
"eussions","avoir","VER","6426.49"
"eussé","avoir","VER","6426.49"
"eut","avoir","VER","6426.49"
"eûmes","avoir","VER","6426.49"
"eût","avoir","VER","6426.49"
"eûtes","avoir","VER","6426.49"
"ont","avoir","VER","6426.49"
"faire","faire","VER","5328.99"
"fais","faire","VER","5328.99"
"faisaient","faire","VER","5328.99"
"faisais","faire","VER","5328.99"
"faisait","faire","VER","5328.99"
"faisant","faire","VER","5328.99"
"faisiez","faire","VER","5328.99"
"faisions","faire","VER","5328.99"
"faisons","faire","VER","5328.99"
"fait","faire","VER","5328.99"
"faite","faire","VER","5328.99"
"faites","faire","VER","5328.99"
"faits","faire","VER","5328.99"
"fasse","faire","VER","5328.99"
"fassent","faire","VER","5328.99"
"fasses","faire","VER","5328.99"
"fassiez","faire","VER","5328.99"
"fassions","faire","VER","5328.99"
"fera","faire","VER","5328.99"
"ferai","faire","VER","5328.99"
"feraient","faire","VER","5328.99"
"ferais","faire","VER","5328.99"
"ferait","faire","VER","5328.99"
"feras","faire","VER","5328.99"
"ferez","faire","VER","5328.99"
"feriez","faire","VER","5328.99"
"ferions","faire","VER","5328.99"
"ferons","faire","VER","5328.99"
"feront","faire","VER","5328.99"
"firent","faire","VER","5328.99"
"fis","faire","VER","5328.99"
"fisse","faire","VER","5328.99"
"fissent","faire","VER","5328.99"
"fissiez","faire","VER","5328.99"
"fissions","faire","VER","5328.99"
"fit","faire","VER","5328.99"
"font","faire","VER","5328.99"
"fîmes","faire","VER","5328.99"
"fît","faire","VER","5328.99"
"fîtes","faire","VER","5328.99"
"dira","dire","VER","4832.5"
"dirai","dire","VER","4832.5"
"diraient","dire","VER","4832.5"
"dirais","dire","VER","4832.5"
"dirait","dire","VER","4832.5"
"diras","dire","VER","4832.5"
"dire","dire","VER","4832.5"
"dirent","dire","VER","4832.5"
"direz","dire","VER","4832.5"
"diriez","dire","VER","4832.5"
"dirions","dire","VER","4832.5"
"dirons","dire","VER","4832.5"
"diront","dire","VER","4832.5"
"dis","dire","VER","4832.5"
"disaient","dire","VER","4832.5"
"disais","dire","VER","4832.5"
"disait","dire","VER","4832.5"
"disant","dire","VER","4832.5"
"dise","dire","VER","4832.5"
"disent","dire","VER","4832.5"
"dises","dire","VER","4832.5"
"disiez","dire","VER","4832.5"
"disions","dire","VER","4832.5"
"disons","dire","VER","4832.5"
"dissent","dire","VER","4832.5"
"dit","dire","VER","4832.5"
"dite","dire","VER","4832.5"
"dites","dire","VER","4832.5"
"dits","dire","VER","4832.5"
"dîmes","dire","VER","4832.5"
"dît","dire","VER","4832.5"
"dîtes","dire","VER","4832.5"
"aille","aller","VER","2854.93"
"aillent","aller","VER","2854.93"
"ailles","aller","VER","2854.93"
"alla","aller","VER","2854.93"
"allai","aller","VER","2854.93"
"allaient","aller","VER","2854.93"
