Rang,Word,lemme,cgram,genre,nombre,freqlemlivres
0,homme,homme,NOM,m,s,1398.85
1,hommes,homme,NOM,m,p,1398.85
2,jour,jour,NOM,m,s,1341.76
3,jours,jour,NOM,m,p,1341.76
5,oeil,oeil,NOM,m,s,1234.59
8,main,main,NOM,,s,1229.39
9,mains,main,NOM,f,p,1229.39
10,fois,fois,NOM,f,p,1140.0
14,femme,femme,NOM,f,s,995.74
15,femmes,femme,NOM,f,p,995.74
16,heure,heure,NOM,f,s,924.05
17,heures,heure,NOM,f,p,924.05
18,tête,tête,NOM,f,s,923.45
19,têtes,tête,NOM,f,p,923.45
20,vie,vie,NOM,f,s,853.31
21,vies,vie,NOM,f,p,853.31
22,coup,coup,NOM,m,s,837.7
23,coups,coup,NOM,m,p,837.7
24,mère,mère,NOM,f,s,761.28
25,mères,mère,NOM,f,p,761.28
29,nuits,nuit,NOM,f,p,738.24
32,père,père,NOM,m,s,723.51
33,pères,père,NOM,m,p,723.51
34,air,air,NOM,m,s,690.81
35,airs,air,NOM,m,p,690.81
36,moment,moment,NOM,m,s,688.24
37,moments,moment,NOM,m,p,688.24
38,an,an,NOM,m,s,685.81
39,ans,an,NOM,m,p,685.81
47,côté,côté,NOM,m,s,566.49
48,côtés,côté,NOM,m,p,566.49
49,visage,visage,NOM,m,s,565.0
50,visages,visage,NOM,m,p,565.0
53,soir,soir,NOM,m,s,562.64
54,soirs,soir,NOM,m,p,562.64
55,mot,mot,NOM,m,s,553.78
56,mots,mot,NOM,m,p,553.78
58,pied,pied,NOM,m,s,486.42
59,pieds,pied,NOM,m,p,486.42
63,eau,eau,NOM,f,s,459.86
64,eaux,eau,NOM,f,p,459.86
71,regard,regard,NOM,m,s,423.18
72,regards,regard,NOM,m,p,423.18
77,amours,amour,NOM,,p,403.92
78,coeur,coeur,NOM,m,s,400.74
79,coeurs,coeur,NOM,m,p,400.74
83,bouts,bout,NOM,m,p,398.11
84,matin,matin,NOM,m,s,396.76
85,matins,matin,NOM,m,p,396.76
86,dieu,dieu,NOM,m,s,396.49
87,dieux,dieu,NOM,m,p,396.49
88,nom,nom,NOM,m,s,395.0
89,noms,nom,NOM,m,p,395.0
93,année,année,NOM,f,s,375.54
94,années,année,NOM,f,p,375.54
95,histoire,histoire,NOM,f,s,359.53
96,histoires,histoire,NOM,f,p,359.53
99,guerre,guerre,NOM,f,s,354.59
100,guerres,guerre,NOM,f,p,354.59
105,ville,ville,NOM,f,s,352.97
106,villes,ville,NOM,f,p,352.97
114,lits,lit,NOM,m,p,338.18
115,soleil,soleil,NOM,m,s,334.39
120,question,question,NOM,f,s,328.45
121,questions,question,NOM,f,p,328.45
124,messieurs,monsieur,NOM,m,p,324.86
125,monsieur,monsieur,NOM,m,s,324.86
129,parts,part,NOM,f,p,320.41
130,mur,mur,NOM,m,s,317.77
134,peur,peur,NOM,f,s,311.69
135,peurs,peur,NOM,f,p,311.69
136,raison,raison,NOM,f,s,308.78
137,raisons,raison,NOM,f,p,308.78
140,sorte,sorte,NOM,f,s,307.16
141,sortes,sorte,NOM,f,p,307.16
142,ciel,ciel,NOM,m,s,305.2
144,mois,mois,NOM,m,,304.86
152,train,train,NOM,m,s,288.65
153,trains,train,NOM,m,p,288.65
163,bruits,bruit,NOM,m,p,281.49
168,façon,façon,NOM,f,s,277.3
170,pièce,pièce,NOM,f,s,276.35
171,pièces,pièce,NOM,f,p,276.35
172,suite,suite,NOM,f,s,275.81
173,suites,suite,NOM,f,p,275.81
174,famille,famille,NOM,f,s,274.39
175,familles,famille,NOM,f,p,274.39
176,lumière,lumière,NOM,f,s,274.26
177,lumières,lumière,NOM,f,p,274.26
178,geste,geste,NOM,,s,271.08
179,gestes,geste,NOM,,p,271.08
182,cheveu,cheveu,NOM,m,s,270.68
183,cheveux,cheveu,NOM,m,p,270.68
184,lieu,lieu,NOM,m,s,267.57
186,lieux,lieu,NOM,m,p,267.57
187,besoin,besoin,NOM,m,s,266.62
188,besoins,besoin,NOM,m,p,266.62
195,mer,mer,NOM,f,s,257.57
196,mers,mer,NOM,f,p,257.57
197,doigt,doigt,NOM,m,s,256.15
198,doigts,doigt,NOM,m,p,256.15
199,milieu,milieu,NOM,m,s,256.08
200,milieux,milieu,NOM,m,p,256.08
205,fils,fils,NOM,m,,247.64
213,feux,feu,NOM,m,p,236.15
214,ordre,ordre,NOM,m,s,235.34
215,ordres,ordre,NOM,m,p,235.34
216,plaisir,plaisir,NOM,m,s,233.85
217,plaisirs,plaisir,NOM,m,p,233.85
220,chemin,chemin,NOM,m,s,231.42
221,chemins,chemin,NOM,m,p,231.42
224,bord,bord,NOM,m,s,228.11
225,bords,bord,NOM,m,p,228.11
226,lèvre,lèvre,NOM,f,s,222.03
227,lèvres,lèvre,NOM,f,p,222.03
230,vent,vent,NOM,m,s,220.27
231,vents,vent,NOM,m,p,220.27
232,état,état,NOM,m,s,218.18
233,états,état,NOM,m,p,218.18
235,âge,âge,NOM,m,s,217.43
236,âges,âge,NOM,m,p,217.43
240,esprit,esprit,NOM,m,s,216.28
241,esprits,esprit,NOM,m,p,216.28
242,salle,salle,NOM,f,s,215.81
243,salles,salle,NOM,f,p,215.81
245,sourires,sourire,NOM,m,p,215.34
249,personne,personne,NOM,f,s,209.8
250,personnes,personne,NOM,f,p,209.8
251,arbre,arbre,NOM,m,s,208.58
252,arbres,arbre,NOM,m,p,208.58
255,sang,sang,NOM,m,s,207.3
259,madame,madame,NOM,f,,203.45
260,mesdames,madame,NOM,f,p,203.45
261,papier,papier,NOM,m,s,203.11
262,papiers,papier,NOM,m,p,203.11
265,coin,coin,NOM,m,s,199.26
266,coins,coin,NOM,m,p,199.26
267,couleur,couleur,NOM,f,s,198.72
268,couleurs,couleur,NOM,f,p,198.72
271,semaine,semaine,NOM,f,s,197.5
272,semaines,semaine,NOM,f,p,197.5
276,souvenirs,souvenir,NOM,m,p,197.03
277,odeur,odeur,NOM,f,s,195.68
278,odeurs,odeur,NOM,f,p,195.68
279,argent,argent,NOM,m,s,194.39
281,oreille,oreille,NOM,f,s,194.12
282,oreilles,oreille,NOM,f,p,194.12
284,maux,mal,NOM,m,p,193.92
285,effet,effet,NOM,m,s,192.36
286,effets,effet,NOM,m,p,192.36
291,peau,peau,NOM,f,s,187.77
292,peaux,peau,NOM,f,p,187.77
293,jardin,jardin,NOM,m,s,185.81
294,jardins,jardin,NOM,m,p,185.81
304,mouvement,mouvement,NOM,m,s,182.97
305,mouvements,mouvement,NOM,m,p,182.97
306,journée,journée,NOM,f,s,179.39
307,journées,journée,NOM,f,p,179.39
308,cheval,cheval,NOM,m,s,179.26
309,chevaux,cheval,NOM,m,p,179.26
310,parole,parole,NOM,f,s,178.31
311,paroles,parole,NOM,f,p,178.31
314,cafés,café,NOM,m,p,177.3
318,sac,sac,NOM,m,s,174.26
319,sacs,sac,NOM,m,p,174.26
324,jeu,jeu,NOM,m,s,173.31
325,jeux,jeu,NOM,m,p,173.31
329,petite,petit,NOM,f,s,169.66
330,petites,petit,NOM,f,p,169.66
331,petits,petit,NOM,m,p,169.66
338,fleurs,fleur,NOM,f,p,164.39
341,bonheur,bonheur,NOM,m,s,162.36
342,bonheurs,bonheur,NOM,m,p,162.36
347,soeur,soeur,NOM,f,s,161.01
348,soeurs,soeur,NOM,f,p,161.01
349,front,front,NOM,m,s,159.12
350,fronts,front,NOM,m,p,159.12
351,hôtel,hôtel,NOM,m,s,158.92
353,retour,retour,NOM,m,s,158.65
354,retours,retour,NOM,m,p,158.65
355,genre,genre,NOM,m,s,157.91
356,genres,genre,NOM,m,p,157.91
359,sentiment,sentiment,NOM,m,s,157.3
360,sentiments,sentiment,NOM,m,p,157.3
362,rires,rire,NOM,m,p,155.47
363,cri,cri,NOM,m,s,155.41
364,cris,cri,NOM,m,p,155.41
365,impression,impression,NOM,f,s,155.27
366,impressions,impression,NOM,f,p,155.27
367,habitude,habitude,NOM,f,s,154.46
368,habitudes,habitude,NOM,f,p,154.46
373,âme,âme,NOM,f,s,151.62
374,âmes,âme,NOM,f,p,151.62
381,sol,sol,NOM,m,s,150.34
382,sols,sol,NOM,m,p,150.34
383,joie,joie,NOM,f,s,150.2
384,joies,joie,NOM,f,p,150.2
385,cour,cour,NOM,f,s,150.14
386,bureau,bureau,NOM,m,s,150.07
387,bureaux,bureau,NOM,m,p,150.07
388,lendemain,lendemain,NOM,m,s,149.26
389,lendemains,lendemain,NOM,m,p,149.26
390,escalier,escalier,NOM,m,s,148.85
391,escaliers,escalier,NOM,m,p,148.85
400,ton,ton,NOM,m,s,146.35
401,tons,ton,NOM,m,p,146.35
404,église,église,NOM,f,s,145.07
405,églises,église,NOM,f,p,145.07
406,maman,maman,NOM,f,s,144.39
407,mamans,maman,NOM,f,p,144.39
410,village,village,NOM,m,s,143.99
411,villages,village,NOM,m,p,143.99
412,école,école,NOM,f,s,143.99
413,écoles,école,NOM,f,p,143.99
414,service,service,NOM,m,s,142.77
415,services,service,NOM,m,p,142.77
416,ventre,ventre,NOM,m,s,141.96
418,goût,goût,NOM,m,s,141.82
419,goûts,goût,NOM,m,p,141.82
420,espèce,espèce,NOM,f,s,141.69
421,espèces,espèce,NOM,f,p,141.69
422,début,début,NOM,m,s,141.49
423,débuts,début,NOM,m,p,141.49
426,vérité,vérité,NOM,f,s,140.88
427,vérités,vérité,NOM,f,p,140.88
432,époque,époque,NOM,f,s,138.51
433,époques,époque,NOM,f,p,138.51
437,endroits,endroit,NOM,m,p,137.57
438,effort,effort,NOM,m,s,136.62
439,efforts,effort,NOM,m,p,136.62
440,chance,chance,NOM,,s,136.35
