Unnamed: 0,Word,lemme,cgram,freqlemlivres
0,es,être,VER,15085.47
2,furent,être,VER,15085.47
3,fus,être,VER,15085.47
5,fussent,être,VER,15085.47
13,sera,être,VER,15085.47
14,serai,être,VER,15085.47
15,seraient,être,VER,15085.47
16,serais,être,VER,15085.47
17,serait,être,VER,15085.47
18,seras,être,VER,15085.47
19,serez,être,VER,15085.47
20,seriez,être,VER,15085.47
21,serions,être,VER,15085.47
22,serons,être,VER,15085.47
23,seront,être,VER,15085.47
24,soient,être,VER,15085.47
26,soit,être,VER,15085.47
28,sont,être,VER,15085.47
29,soyez,être,VER,15085.47
30,soyons,être,VER,15085.47
31,suis,être,VER,15085.47
32,étaient,être,VER,15085.47
34,était,être,VER,15085.47
36,étiez,être,VER,15085.47
37,étions,être,VER,15085.47
39,êtes,être,VER,15085.47
42,ai,avoir,VER,6426.49
43,aie,avoir,VER,6426.49
44,aient,avoir,VER,6426.49
45,aies,avoir,VER,6426.49
46,ait,avoir,VER,6426.49
49,aurai,avoir,VER,6426.49
50,auraient,avoir,VER,6426.49
51,aurais,avoir,VER,6426.49
52,aurait,avoir,VER,6426.49
54,aurez,avoir,VER,6426.49
55,auriez,avoir,VER,6426.49
56,aurions,avoir,VER,6426.49
57,aurons,avoir,VER,6426.49
58,auront,avoir,VER,6426.49
59,avaient,avoir,VER,6426.49
60,avais,avoir,VER,6426.49
61,avait,avoir,VER,6426.49
62,avez,avoir,VER,6426.49
63,aviez,avoir,VER,6426.49
66,avons,avoir,VER,6426.49
68,ayez,avoir,VER,6426.49
69,ayons,avoir,VER,6426.49
70,eu,avoir,VER,6426.49
71,eue,avoir,VER,6426.49
72,eues,avoir,VER,6426.49
73,eurent,avoir,VER,6426.49
74,eus,avoir,VER,6426.49
76,eussent,avoir,VER,6426.49
81,eut,avoir,VER,6426.49
83,eût,avoir,VER,6426.49
85,ont,avoir,VER,6426.49
86,faire,faire,VER,5328.99
87,fais,faire,VER,5328.99
88,faisaient,faire,VER,5328.99
89,faisais,faire,VER,5328.99
90,faisait,faire,VER,5328.99
93,faisions,faire,VER,5328.99
94,faisons,faire,VER,5328.99
99,fasse,faire,VER,5328.99
100,fassent,faire,VER,5328.99
102,fassiez,faire,VER,5328.99
104,fera,faire,VER,5328.99
105,ferai,faire,VER,5328.99
106,feraient,faire,VER,5328.99
107,ferais,faire,VER,5328.99
108,ferait,faire,VER,5328.99
109,feras,faire,VER,5328.99
110,ferez,faire,VER,5328.99
111,feriez,faire,VER,5328.99
113,ferons,faire,VER,5328.99
114,feront,faire,VER,5328.99
115,firent,faire,VER,5328.99
116,fis,faire,VER,5328.99
121,fit,faire,VER,5328.99
122,font,faire,VER,5328.99
124,fît,faire,VER,5328.99
126,dira,dire,VER,4832.5
127,dirai,dire,VER,4832.5
129,dirais,dire,VER,4832.5
130,dirait,dire,VER,4832.5
133,dirent,dire,VER,4832.5
134,direz,dire,VER,4832.5
138,diront,dire,VER,4832.5
139,dis,dire,VER,4832.5
140,disaient,dire,VER,4832.5
141,disais,dire,VER,4832.5
142,disait,dire,VER,4832.5
144,dise,dire,VER,4832.5
145,disent,dire,VER,4832.5
146,dises,dire,VER,4832.5
149,disons,dire,VER,4832.5
150,dissent,dire,VER,4832.5
158,aille,aller,VER,2854.93
159,aillent,aller,VER,2854.93
160,ailles,aller,VER,2854.93
161,alla,aller,VER,2854.93
163,allaient,aller,VER,2854.93
164,allais,aller,VER,2854.93
165,allait,aller,VER,2854.93
170,allez,aller,VER,2854.93
171,allier,aller,VER,2854.93
173,allions,aller,VER,2854.93
174,allons,aller,VER,2854.93
177,allèrent,aller,VER,2854.93
178,allé,aller,VER,2854.93
181,allés,aller,VER,2854.93
182,ira,aller,VER,2854.93
183,irai,aller,VER,2854.93
184,iraient,aller,VER,2854.93
185,irais,aller,VER,2854.93
186,irait,aller,VER,2854.93
188,irez,aller,VER,2854.93
191,irons,aller,VER,2854.93
192,iront,aller,VER,2854.93
193,va,aller,VER,2854.93
194,vais,aller,VER,2854.93
195,vas,aller,VER,2854.93
196,vont,aller,VER,2854.93
198,peuvent,pouvoir,VER,2659.8
199,peux,pouvoir,VER,2659.8
201,pourra,pouvoir,VER,2659.8
202,pourrai,pouvoir,VER,2659.8
203,pourraient,pouvoir,VER,2659.8
204,pourrais,pouvoir,VER,2659.8
205,pourrait,pouvoir,VER,2659.8
206,pourras,pouvoir,VER,2659.8
207,pourrez,pouvoir,VER,2659.8
208,pourriez,pouvoir,VER,2659.8
209,pourrions,pouvoir,VER,2659.8
210,pourrons,pouvoir,VER,2659.8
211,pourront,pouvoir,VER,2659.8
212,pouvaient,pouvoir,VER,2659.8
213,pouvais,pouvoir,VER,2659.8
214,pouvait,pouvoir,VER,2659.8
215,pouvant,pouvoir,VER,2659.8
216,pouvez,pouvoir,VER,2659.8
217,pouviez,pouvoir,VER,2659.8
218,pouvions,pouvoir,VER,2659.8
