,lemma,grammaticalCategory,inflectedForm_1,grammaticalSubCategory,locution,inflectedForm_2,inflectedForm_3,inflectedForm_4,inflectedForm_5,inflectedForm_6,inflectedForm_7,inflectedForm_8
0,a,preposition,a,,,,,,,,,
1,afin de,conjunction,afin de,subordination,oui,,,,,,,
2,afin de,preposition,afin de,,oui,afin d',,,,,,
3,afin que,conjunction,afin que,subordination,oui,afin qu',,,,,,
4,ains,conjunction,ains,coordination,,,,,,,,
5,ainsi,conjunction,ainsi,subordination,,,,,,,,
6,ainsi que,conjunction,ainsi que,coordination,oui,ainsi qu',,,,,,
7,ainsi que,conjunction,ainsi que,subordination,oui,ainsi qu',,,,,,
8,alors,conjunction,alors,coordination,,,,,,,,
9,alors même que,conjunction,alors même que,subordination,oui,alors même qu',,,,,,
10,alors que,conjunction,alors que,subordination,oui,alors qu',,,,,,
11,apr.,preposition,apr.,abbreviation,,,,,,,,
12,après,preposition,après,,,,,,,,,
13,après que,conjunction,après que,subordination,oui,après qu',,,,,,
14,assez de,determiner,assez de,indefinite,oui,assez d',assez de la,assez des,assez du,,,
15,attendu,preposition,attendu,,,,,,,,,
16,attendu que,conjunction,attendu que,subordination,oui,attendu qu',,,,,,
17,au,preposition,au,determinant,,aux,,,,,,
18,au,determiner,au,definite,,,,,,,,
19,au beau milieu de,preposition,au beau milieu de,,oui,au beau milieu d',,,,,,
20,au bord de,preposition,au bord de,,oui,au bord d',,,,,,
21,au bout de,preposition,au bout de,,oui,au bout d',,,,,,
22,au cas où,conjunction,au cas où,subordination,oui,,,,,,,
23,au centre de,preposition,au centre de,,oui,au centre d',,,,,,
24,au comble de,preposition,au comble de,,oui,au comble d',,,,,,
25,au cours de,preposition,au cours de,,oui,au cours d',,,,,,
26,au côté de,preposition,au côté de,,oui,au côté d',,,,,,
27,au dehors de,preposition,au dehors de,,oui,au dehors d',,,,,,
28,au delà de,preposition,au delà de,,oui,au delà d',,,,,,
29,au dessous de,preposition,au dessous de,,oui,au dessous d',,,,,,
30,au devant de,preposition,au devant de,,oui,au devant d',,,,,,
31,au fond de,preposition,au fond de,,oui,au fond d',,,,,,
32,au fur et à mesure de,preposition,au fur et à mesure de,,oui,au fur et à mesure d',,,,,,
33,au fur et à mesure que,conjunction,au fur et à mesure que,subordination,oui,au fur et à mesure qu',,,,,,
34,au grand dam de,preposition,au grand dam de,,oui,au grand dam d',,,,,,
35,au gré de,preposition,au gré de,,oui,au gré d',,,,,,
36,au large de,preposition,au large de,,oui,au large d',,,,,,
37,au lieu de,preposition,au lieu de,,oui,au lieu d',,,,,,
