,lemma
0,a demi-mot
1,a divinis
2,a fortiori
3,a maxima
4,a minima
5,ab hoc et ab hac
6,ab intestat
7,ab irato
8,ab ovo
9,aco
10,ad hoc
11,ad hominem
12,ad honores
13,ad libitum
14,ad patres
15,ad referendum
16,ad rem
17,adieu-va
18,adieu-vat
19,afin
20,alla breve
21,altèque
22,arrache-pied
23,au refile aller
24,auprès de
25,autor
26,auxquelles
27,auxquels
28,avenantà l'
29,aveuglette
30,boucheton
31,bras-le-corps
32,brassette
33,bredi-breda
34,bric et de broc
35,brunante
36,brûle-pourpoint
37,califourchon
38,catimini
39,ceux
40,charlemagne
41,charlemagne faire
42,chevauchons
43,cloche-pied
44,compte-tenu
45,contre-biais
46,contre-cœur
47,contre-fil
48,contre-gré
49,contre-haut
50,contre-mesure
51,contre-nature
52,contre-poil
53,contre-saison
54,contre-voie
55,contre-échange
56,contrebord
57,couci-couci
58,croque-au-sel
59,croupetons
60,d
61,d'affile
62,d'affilée
63,d'altèque
64,d'arrache-pied
65,d'autor
66,d'emblée
67,d'hironde queue
68,da capo
69,dare-dare
70,de bric et de broc
71,de franc-étable
72,de guingois
73,de la
74,de visu
75,demi-bas
76,demi-basà
77,demi-hauteur
78,demi-mot
79,demi-sang
80,demi-voix
81,divinis
82,eh bien
83,emblée
84,en catimini
85,en contre-haut
86,en contre-échange
87,en dépit de
88,en suspens
89,en tapinois
90,en un tournemain
91,en vain
92,encontre
93,entre temps
94,entrefaites
95,envi
96,espère
97,est-ce que
98,est-ce qui
99,est-ce qui que
100,et cetera
101,et cætera
102,et cœtera
103,ex cathedra
104,ex-aequo
105,exit
106,florès
107,florès faire
108,fortiori
109,franc étrier
110,franc-étable
111,frise-lumière
112,gille faire
113,giorno
114,grand-chose
115,grand-peine
116,grèver de la faim
117,guéau _
118,haut-le-pied
119,hic et nunc
120,hironde
121,hors-bord
122,huhau
123,hyper-hyper
124,illico presto
125,improviste
126,in extenso
127,in extremis
128,in fine
129,in globo
130,in partibus
131,in petto
132,in situ
133,inabsentia
134,inabstracto
135,inarticulo mortis
136,inconcreto
137,infiocchi
138,inglobo
139,inmedias res
140,inpraesentia
141,inprima instantia
142,inre
143,inrem
144,insensu obvio
145,inspecie
146,instar
147,instatu quo
148,insu
149,intemporalibus
150,interminis
151,inutroque jure
152,invitro
153,invivo
154,ipso facto
155,je-m'en-fiche
156,jeun
157,loco citato
158,lèche-doigt
159,lèche-doigts
160,lèchemiettes
161,lève-cul
162,macach bono
163,macache bono
164,mal-en-point
165,malheure
166,manu militari
167,maxima
168,mezza-voce
169,mezzo-forte
170,mezzo-voce
171,mi-chemin
172,mi-corps
173,mi-course
174,mi-côte
175,mi-distance
176,mi-hauteur
177,mi-jambe
178,mi-jambes
179,mi-partie
180,mi-représentation
181,mi-temps
182,mi-tempsà
183,mi-voix
184,minima
185,miton mitaine
186,motu proprio
187,mouais
188,mutatis mutandis
189,n'est-ce pas
190,n'importe
191,naturalibus
192,naturalibus in
193,ne varietur
194,neuf-huit
195,nota
196,nota bene
