Word,lemme,cgram,genre,freqlemlivres
tous,tout,ADJ,m,3171.35
tout,tout,ADJ,m,3171.35
tout,tout,ADJ:ind,m,3171.35
ce,ce,ADJ:dem,m,2436.55
petit,petit,ADJ,m,1541.96
petits,petit,ADJ,m,1541.96
grand,grand,ADJ,m,1244.66
grands,grand,ADJ,m,1244.66
seul,seul,ADJ,m,915.27
seuls,seul,ADJ,m,915.27
bon,bon,ADJ,m,789.66
bons,bon,ADJ,m,789.66
premier,premier,ADJ,m,672.57
premiers,premier,ADJ,m,672.57
beau,beau,ADJ,m,620.07
beaux,beau,ADJ,m,620.07
vieux,vieux,ADJ,m,512.91
cet,cet,ADJ:dem,m,497.5
noir,noir,ADJ,m,482.23
noirs,noir,ADJ,m,482.23
long,long,ADJ,m,444.86
longs,long,ADJ,m,444.86
blanc,blanc,ADJ,m,430.54
blancs,blanc,ADJ,m,430.54
vrai,vrai,ADJ,m,430.07
vrais,vrai,ADJ,m,430.07
sûr,sûr,ADJ,m,412.97
sûrs,sûr,ADJ,m,412.97
dernier,dernier,ADJ,m,403.11
derniers,dernier,ADJ,m,403.11
plein,plein,ADJ,m,370.41
pleins,plein,ADJ,m,370.41
gros,gros,ADJ,m,353.45
français,français,ADJ,m,298.85
quel,quel,ADJ:int,m,265.34
quoi,quoi,ADJ,m,210.88
bleus,bleu,ADJ,m,207.64
mauvais,mauvais,ADJ,m,200.61
haut,haut,ADJ,m,196.76
hauts,haut,ADJ,m,196.76
heureux,heureux,ADJ,m,190.0
bas,bas,ADJ,m,187.09
nouveau,nouveau,ADJ,m,185.61
nouveaux,nouveau,ADJ,m,185.61
certain,certain,ADJ,m,182.64
certain,certain,ADJ:ind,m,182.64
certains,certain,ADJ,m,182.64
aucun,aucun,ADJ:ind,m,180.95
nu,nu,ADJ,m,168.04
nus,nu,ADJ,m,168.04
fou,fou,ADJ,m,164.32
fous,fou,ADJ,m,164.32
droit,droit,ADJ,m,163.38
droits,droit,ADJ,m,163.38
froid,froid,ADJ,m,161.69
froids,froid,ADJ,m,161.69
clair,clair,ADJ,m,156.69
clairs,clair,ADJ,m,156.69
ancien,ancien,ADJ,m,154.86
anciens,ancien,ADJ,m,154.86
gris,gris,ADJ,m,154.86
léger,léger,ADJ,m,151.01
légers,léger,ADJ,m,151.01
pareil,pareil,ADJ,m,149.66
pareils,pareil,ADJ,m,149.66
entier,entier,ADJ,m,147.91
entiers,entier,ADJ,m,147.91
dur,dur,ADJ,m,146.69
durs,dur,ADJ,m,146.69
lourd,lourd,ADJ,m,145.88
lourds,lourd,ADJ,m,145.88
vert,vert,ADJ,m,145.14
verts,vert,ADJ,m,145.14
doux,doux,ADJ,m,145.07
sec,sec,ADJ,m,142.84
secs,sec,ADJ,m,142.84
fort,fort,ADJ,m,140.27
forts,fort,ADJ,m,140.27
cher,cher,ADJ,m,133.65
chers,cher,ADJ,m,133.65
ouvert,ouvert,ADJ,m,132.36
ouverts,ouvert,ADJ,m,132.36
prêt,prêt,ADJ,m,121.28
joli,joli,ADJ,m,120.0
jolis,joli,ADJ,m,120.0
tel,tel,ADJ:ind,m,115.74
chaud,chaud,ADJ,m,113.31
chauds,chaud,ADJ,m,113.31
mort,mort,ADJ,m,113.18
morts,mort,ADJ,m,113.18
neuf,neuf,ADJ,m,113.18
neufs,neuf,ADJ,m,113.18
frais,frais,ADJ,m,111.69
humain,humain,ADJ,m,111.55
humains,humain,ADJ,m,111.55
faux,faux,ADJ,m,109.59
court,court,ADJ,m,108.99
courts,court,ADJ,m,108.99
profond,profond,ADJ,m,105.74
profonds,profond,ADJ,m,105.74
certains,certains,ADJ:ind,m,101.28
national,national,ADJ,m,98.04
nationaux,national,ADJ,m,98.04
fin,fin,ADJ,m,97.97
fins,fin,ADJ,m,97.97
général,général,ADJ,m,95.41
généraux,général,ADJ,m,95.41
vif,vif,ADJ,m,95.07
vifs,vif,ADJ,m,95.07
vivant,vivant,ADJ,m,92.23
vivants,vivant,ADJ,m,92.23
différent,différent,ADJ,m,92.03
différents,différent,ADJ,m,92.03
lointain,lointain,ADJ,m,91.96
lointains,lointain,ADJ,m,91.96
épais,épais,ADJ,m,90.61
pur,pur,ADJ,m,90.34
purs,pur,ADJ,m,90.34
second,second,ADJ,m,88.58
seconds,second,ADJ,m,88.58
meilleur,meilleur,ADJ,m,86.82
meilleurs,meilleur,ADJ,m,86.82
important,important,ADJ,m,86.76
importants,important,ADJ,m,86.76
allemand,allemand,ADJ,m,86.55
allemands,allemand,ADJ,m,86.55
content,content,ADJ,m,86.49
contents,content,ADJ,m,86.49
secret,secret,ADJ,m,83.11
secrets,secret,ADJ,m,83.11
présent,présent,ADJ,m,80.74
présents,présent,ADJ,m,80.74
rond,rond,ADJ,m,78.51
ronds,rond,ADJ,m,78.51
blond,blond,ADJ,m,76.76
blonds,blond,ADJ,m,76.76
commun,commun,ADJ,m,75.95
communs,commun,ADJ,m,75.95
étroit,étroit,ADJ,m,75.81
étroits,étroit,ADJ,m,75.81
naturel,naturel,ADJ,m,75.68
naturels,naturel,ADJ,m,75.68
étranger,étranger,ADJ,m,75.0
étrangers,étranger,ADJ,m,75.0
bref,bref,ADJ,m,74.8
brefs,bref,ADJ,m,74.8
américain,américain,ADJ,m,74.73
américains,américain,ADJ,m,74.73
silencieux,silencieux,ADJ,m,74.05
brun,brun,ADJ,m,68.18
bruns,brun,ADJ,m,68.18
obscur,obscur,ADJ,m,67.57
obscurs,obscur,ADJ,m,67.57
curieux,curieux,ADJ,m,66.22
sérieux,sérieux,ADJ,m,66.01
public,public,ADJ,m,65.27
publics,public,ADJ,m,65.27
soudain,soudain,ADJ,m,65.27
soudains,soudain,ADJ,m,65.27
gentil,gentil,ADJ,m,64.86
gentils,gentil,ADJ,m,64.86
lent,lent,ADJ,m,64.12
lents,lent,ADJ,m,64.12
normal,normal,ADJ,m,62.77
normaux,normal,ADJ,m,62.77
inconnu,inconnu,ADJ,m,61.82
inconnus,inconnu,ADJ,m,61.82
précis,précis,ADJ,m,61.82
plat,plat,ADJ,m,61.76
plats,plat,ADJ,m,61.76
anglais,anglais,ADJ,m,61.69
entendu,entendu,ADJ,m,61.62
entendus,entendu,ADJ,m,61.62
nombreux,nombreux,ADJ,m,60.27
prochain,prochain,ADJ,m,59.32
prochains,prochain,ADJ,m,59.32
malheureux,malheureux,ADJ,m,58.85
passé,passé,ADJ,m,58.58
passés,passé,ADJ,m,58.58
amoureux,amoureux,ADJ,m,58.45
perdu,perdu,ADJ,m,58.45
perdus,perdu,ADJ,m,58.45
fier,fier,ADJ,m,58.18
fiers,fier,ADJ,m,58.18
vain,vain,ADJ,m,57.03
vains,vain,ADJ,m,57.03
fermé,fermé,ADJ,m,56.35
fermés,fermé,ADJ,m,56.35
particulier,particulier,ADJ,m,53.99
particuliers,particulier,ADJ,m,53.99
mystérieux,mystérieux,ADJ,m,53.65
brillant,brillant,ADJ,m,53.31
brillants,brillant,ADJ,m,53.31
fameux,fameux,ADJ,m,53.11
divers,divers,ADJ,m,52.77
divers,divers,ADJ:ind,m,52.77
désert,désert,ADJ,m,52.57
déserts,désert,ADJ,m,52.57
fait,fait,ADJ,m,51.76
faits,fait,ADJ,m,51.76
violent,violent,ADJ,m,51.49
violents,violent,ADJ,m,51.49
vieil,vieil,ADJ,m,51.22
suivant,suivant,ADJ,m,51.08
suivants,suivant,ADJ,m,51.08
sourd,sourd,ADJ,m,50.68
sourds,sourd,ADJ,m,50.68
intérieur,intérieur,ADJ,m,50.61
intérieurs,intérieur,ADJ,m,50.61
doré,doré,ADJ,m,50.47
dorés,doré,ADJ,m,50.47
personnel,personnel,ADJ,m,50.0
personnels,personnel,ADJ,m,50.0
social,social,ADJ,m,49.8
sociaux,social,ADJ,m,49.8
voisin,voisin,ADJ,m,49.73
voisins,voisin,ADJ,m,49.73
gras,gras,ADJ,m,48.92
familier,familier,ADJ,m,47.91
familiers,familier,ADJ,m,47.91
puissant,puissant,ADJ,m,47.7
puissants,puissant,ADJ,m,47.7
dangereux,dangereux,ADJ,m,47.57
supérieur,supérieur,ADJ,m,46.69
supérieurs,supérieur,ADJ,m,46.69
inquiet,inquiet,ADJ,m,46.55
inquiets,inquiet,ADJ,m,46.55
éternel,éternel,ADJ,m,45.88
éternels,éternel,ADJ,m,45.88
muet,muet,ADJ,m,45.74
muets,muet,ADJ,m,45.74
joyeux,joyeux,ADJ,m,45.61
sacré,sacré,ADJ,m,45.2
sacrés,sacré,ADJ,m,45.2
furieux,furieux,ADJ,m,44.59
venu,venu,ADJ,m,44.39
venus,venu,ADJ,m,44.39
complet,complet,ADJ,m,44.12
complets,complet,ADJ,m,44.12
demi,demi,ADJ,m,43.51
demis,demi,ADJ,m,43.51
parfait,parfait,ADJ,m,43.45
parfaits,parfait,ADJ,m,43.45
saint,saint,ADJ,m,42.77
saints,saint,ADJ,m,42.77
gai,gai,ADJ,m,41.76
gais,gai,ADJ,m,41.76
moyen,moyen,ADJ,m,41.69
moyens,moyen,ADJ,m,41.69
