"Word","lemme","cgram","freqlemlivres"
"son","son","ADJ:pos","4696.15"
"sa","sa","ADJ:pos","3732.43"
"tous","tout","ADJ","3171.35"
"tout","tout","ADJ","3171.35"
"tout","tout","ADJ:ind","3171.35"
"toute","tout","ADJ","3171.35"
"toutes","tout","ADJ","3171.35"
"ses","ses","ADJ:pos","3105.41"
"ce","ce","ADJ:dem","2436.55"
"cette","cette","ADJ:dem","2320.68"
"mon","mon","ADJ:pos","2307.97"
"ma","ma","ADJ:pos","1667.16"
"deux","deux","ADJ:num","1557.91"
"ces","ces","ADJ:dem","1547.5"
"petit","petit","ADJ","1541.96"
"petite","petit","ADJ","1541.96"
"petites","petit","ADJ","1541.96"
"petits","petit","ADJ","1541.96"
"grand","grand","ADJ","1244.66"
"grande","grand","ADJ","1244.66"
"grandes","grand","ADJ","1244.66"
"grands","grand","ADJ","1244.66"
"mes","mes","ADJ:pos","1023.11"
"seul","seul","ADJ","915.27"
"seule","seul","ADJ","915.27"
"seules","seul","ADJ","915.27"
"seuls","seul","ADJ","915.27"
"leurs","leurs","ADJ:pos","886.55"
"autre","autre","ADJ","870.14"
"autres","autre","ADJ","870.14"
"même","même","ADJ","804.8"
"mêmes","même","ADJ","804.8"
"bon","bon","ADJ","789.66"
"bonne","bon","ADJ","789.66"
"bonnes","bon","ADJ","789.66"
"bons","bon","ADJ","789.66"
"quelques","quelques","ADJ:ind","732.57"
"notre","notre","ADJ:pos","680.68"
"premier","premier","ADJ","672.57"
"premiers","premier","ADJ","672.57"
"première","premier","ADJ","672.57"
"premières","premier","ADJ","672.57"
"trois","trois","ADJ:num","660.34"
"beau","beau","ADJ","620.07"
"beaux","beau","ADJ","620.07"
"belle","beau","ADJ","620.07"
"belles","beau","ADJ","620.07"
"nos","nos","ADJ:pos","579.19"
"jeune","jeune","ADJ","569.19"
"jeunes","jeune","ADJ","569.19"
"quelque","quelque","ADJ:ind","557.77"
"vieille","vieux","ADJ","512.91"
"vieilles","vieux","ADJ","512.91"
"vieux","vieux","ADJ","512.91"
"cet","cet","ADJ:dem","497.5"
"chaque","chaque","ADJ:ind","486.35"
"noir","noir","ADJ","482.23"
"noire","noir","ADJ","482.23"
"noires","noir","ADJ","482.23"
"noirs","noir","ADJ","482.23"
"long","long","ADJ","444.86"
"longs","long","ADJ","444.86"
"longue","long","ADJ","444.86"
"longues","long","ADJ","444.86"
"blanc","blanc","ADJ","430.54"
"blanche","blanc","ADJ","430.54"
"blanches","blanc","ADJ","430.54"
"blancs","blanc","ADJ","430.54"
"vrai","vrai","ADJ","430.07"
"vraie","vrai","ADJ","430.07"
"vraies","vrai","ADJ","430.07"
"vrais","vrai","ADJ","430.07"
"votre","votre","ADJ:pos","427.91"
"sûr","sûr","ADJ","412.97"
"sûre","sûr","ADJ","412.97"
"sûres","sûr","ADJ","412.97"
"sûrs","sûr","ADJ","412.97"
"dernier","dernier","ADJ","403.11"
"derniers","dernier","ADJ","403.11"
"dernière","dernier","ADJ","403.11"
"dernières","dernier","ADJ","403.11"
"plein","plein","ADJ","370.41"
"pleine","plein","ADJ","370.41"
"pleines","plein","ADJ","370.41"
"pleins","plein","ADJ","370.41"
"gros","gros","ADJ","353.45"
"grosse","gros","ADJ","353.45"
"grosses","gros","ADJ","353.45"
