"Word","lemme","cgram","freqlemlivres"
"homme","homme","NOM","1398.85"
"hommes","homme","NOM","1398.85"
"jour","jour","NOM","1341.76"
"jours","jour","NOM","1341.76"
"temps","temps","NOM","1289.39"
"oeil","oeil","NOM","1234.59"
"oeils","oeil","NOM","1234.59"
"yeux","oeil","NOM","1234.59"
"main","main","NOM","1229.39"
"mains","main","NOM","1229.39"
"fois","fois","NOM","1140"
"chose","chose","NOM","1057.64"
"choses","chose","NOM","1057.64"
"peu","peu","NOM","1023.38"
"femme","femme","NOM","995.74"
"femmes","femme","NOM","995.74"
"heure","heure","NOM","924.05"
"heures","heure","NOM","924.05"
"tête","tête","NOM","923.45"
"têtes","tête","NOM","923.45"
"vie","vie","NOM","853.31"
"vies","vie","NOM","853.31"
"coup","coup","NOM","837.7"
"coups","coup","NOM","837.7"
"mère","mère","NOM","761.28"
"mères","mère","NOM","761.28"
"monde","monde","NOM","741.35"
"mondes","monde","NOM","741.35"
"nuit","nuit","NOM","738.24"
"nuits","nuit","NOM","738.24"
"enfant","enfant","NOM","725.68"
"enfants","enfant","NOM","725.68"
"père","père","NOM","723.51"
"pères","père","NOM","723.51"
"air","air","NOM","690.81"
"airs","air","NOM","690.81"
"moment","moment","NOM","688.24"
"moments","moment","NOM","688.24"
"an","an","NOM","685.81"
"ans","an","NOM","685.81"
"porte","porte","NOM","617.43"
"portes","porte","NOM","617.43"
"voix","voix","NOM","612.7"
"fille","fille","NOM","592.23"
"filles","fille","NOM","592.23"
"maison","maison","NOM","575.34"
"maisons","maison","NOM","575.34"
"côté","côté","NOM","566.49"
"côtés","côté","NOM","566.49"
"visage","visage","NOM","565"
"visages","visage","NOM","565"
"rue","rue","NOM","562.97"
"rues","rue","NOM","562.97"
"soir","soir","NOM","562.64"
"soirs","soir","NOM","562.64"
"mot","mot","NOM","553.78"
"mots","mot","NOM","553.78"
"bras","bras","NOM","487.97"
"pied","pied","NOM","486.42"
"pieds","pied","NOM","486.42"
"corps","corps","NOM","480.34"
"place","place","NOM","468.58"
"places","place","NOM","468.58"
"eau","eau","NOM","459.86"
"eaux","eau","NOM","459.86"
"terre","terre","NOM","452.91"
"terres","terre","NOM","452.91"
"mort","mort","NOM","452.7"
"morte","mort","NOM","452.7"
"mortes","mort","NOM","452.7"
"morts","mort","NOM","452.7"
"regard","regard","NOM","423.18"
"regards","regard","NOM","423.18"
"chambre","chambre","NOM","413.31"
"chambres","chambre","NOM","413.31"
"gens","gens","NOM","409.39"
"amour","amour","NOM","403.92"
"amours","amour","NOM","403.92"
"coeur","coeur","NOM","400.74"
"coeurs","coeur","NOM","400.74"
"peine","peine","NOM","399.53"
"peines","peine","NOM","399.53"
"bout","bout","NOM","398.11"
"bouts","bout","NOM","398.11"
"matin","matin","NOM","396.76"
"matins","matin","NOM","396.76"
"dieu","dieu","NOM","396.49"
"dieux","dieu","NOM","396.49"
"nom","nom","NOM","395"
"noms","nom","NOM","395"
"table","table","NOM","379.8"
"tables","table","NOM","379.8"
"fond","fond","NOM","376.15"
"année","année","NOM","375.54"
"années","année","NOM","375.54"
"histoire","histoire","NOM","359.53"
