,Word,lemme,cgram,genre,freqlemlivres
6,grand,grand,ADJ,m,1244.66
7,grands,grand,ADJ,m,1244.66
8,seul,seul,ADJ,m,915.27
9,seuls,seul,ADJ,m,915.27
10,bon,bon,ADJ,m,789.66
11,bons,bon,ADJ,m,789.66
12,premier,premier,ADJ,m,672.57
13,premiers,premier,ADJ,m,672.57
15,beaux,beau,ADJ,m,620.07
16,vieux,vieux,ADJ,m,512.91
18,noir,noir,ADJ,m,482.23
19,noirs,noir,ADJ,m,482.23
20,long,long,ADJ,m,444.86
21,longs,long,ADJ,m,444.86
22,blanc,blanc,ADJ,m,430.54
23,blancs,blanc,ADJ,m,430.54
24,vrai,vrai,ADJ,m,430.07
25,vrais,vrai,ADJ,m,430.07
26,sûr,sûr,ADJ,m,412.97
27,sûrs,sûr,ADJ,m,412.97
28,dernier,dernier,ADJ,m,403.11
29,derniers,dernier,ADJ,m,403.11
30,plein,plein,ADJ,m,370.41
31,pleins,plein,ADJ,m,370.41
36,bleus,bleu,ADJ,m,207.64
38,haut,haut,ADJ,m,196.76
39,hauts,haut,ADJ,m,196.76
43,nouveaux,nouveau,ADJ,m,185.61
44,certain,certain,ADJ,m,182.64
45,certain,certain,ADJ:ind,m,182.64
46,certains,certain,ADJ,m,182.64
47,aucun,aucun,ADJ:ind,m,180.95
48,nu,nu,ADJ,m,168.04
49,nus,nu,ADJ,m,168.04
50,fou,fou,ADJ,m,164.32
51,fous,fou,ADJ,m,164.32
52,droit,droit,ADJ,m,163.38
53,droits,droit,ADJ,m,163.38
54,froid,froid,ADJ,m,161.69
55,froids,froid,ADJ,m,161.69
56,clair,clair,ADJ,m,156.69
57,clairs,clair,ADJ,m,156.69
58,ancien,ancien,ADJ,m,154.86
59,anciens,ancien,ADJ,m,154.86
61,léger,léger,ADJ,m,151.01
62,légers,léger,ADJ,m,151.01
63,pareil,pareil,ADJ,m,149.66
64,pareils,pareil,ADJ,m,149.66
65,entier,entier,ADJ,m,147.91
66,entiers,entier,ADJ,m,147.91
67,dur,dur,ADJ,m,146.69
68,durs,dur,ADJ,m,146.69
69,lourd,lourd,ADJ,m,145.88
70,lourds,lourd,ADJ,m,145.88
71,vert,vert,ADJ,m,145.14
72,verts,vert,ADJ,m,145.14
74,sec,sec,ADJ,m,142.84
75,secs,sec,ADJ,m,142.84
76,fort,fort,ADJ,m,140.27
77,forts,fort,ADJ,m,140.27
78,cher,cher,ADJ,m,133.65
79,chers,cher,ADJ,m,133.65
80,ouvert,ouvert,ADJ,m,132.36
81,ouverts,ouvert,ADJ,m,132.36
82,prêt,prêt,ADJ,m,121.28
83,joli,joli,ADJ,m,120.0
84,jolis,joli,ADJ,m,120.0
85,tel,tel,ADJ:ind,m,115.74
86,chaud,chaud,ADJ,m,113.31
87,chauds,chaud,ADJ,m,113.31
88,mort,mort,ADJ,m,113.18
89,morts,mort,ADJ,m,113.18
90,neuf,neuf,ADJ,m,113.18
91,neufs,neuf,ADJ,m,113.18
93,humain,humain,ADJ,m,111.55
94,humains,humain,ADJ,m,111.55
96,court,court,ADJ,m,108.99
97,courts,court,ADJ,m,108.99
98,profond,profond,ADJ,m,105.74
99,profonds,profond,ADJ,m,105.74
100,certains,certains,ADJ:ind,m,101.28
101,national,national,ADJ,m,98.04
102,nationaux,national,ADJ,m,98.04
103,fin,fin,ADJ,m,97.97
104,fins,fin,ADJ,m,97.97
105,général,général,ADJ,m,95.41
106,généraux,général,ADJ,m,95.41
107,vif,vif,ADJ,m,95.07
108,vifs,vif,ADJ,m,95.07
109,vivant,vivant,ADJ,m,92.23
110,vivants,vivant,ADJ,m,92.23
111,différent,différent,ADJ,m,92.03
112,différents,différent,ADJ,m,92.03
113,lointain,lointain,ADJ,m,91.96
114,lointains,lointain,ADJ,m,91.96
116,pur,pur,ADJ,m,90.34
117,purs,pur,ADJ,m,90.34
118,second,second,ADJ,m,88.58
119,seconds,second,ADJ,m,88.58
120,meilleur,meilleur,ADJ,m,86.82
121,meilleurs,meilleur,ADJ,m,86.82
122,important,important,ADJ,m,86.76
123,importants,important,ADJ,m,86.76
124,allemand,allemand,ADJ,m,86.55
125,allemands,allemand,ADJ,m,86.55
126,content,content,ADJ,m,86.49
127,contents,content,ADJ,m,86.49
128,secret,secret,ADJ,m,83.11
129,secrets,secret,ADJ,m,83.11
130,présent,présent,ADJ,m,80.74
131,présents,présent,ADJ,m,80.74
132,rond,rond,ADJ,m,78.51
133,ronds,rond,ADJ,m,78.51
134,blond,blond,ADJ,m,76.76
135,blonds,blond,ADJ,m,76.76
136,commun,commun,ADJ,m,75.95
137,communs,commun,ADJ,m,75.95
