"Word","lemme","cgram","genre","nombre","freqlemlivres"
"homme","homme","NOM","m","s","1398.85"
"hommes","homme","NOM","m","p","1398.85"
"jour","jour","NOM","m","s","1341.76"
"jours","jour","NOM","m","p","1341.76"
"temps","temps","NOM","m","s","1289.39"
"oeil","oeil","NOM","m","s","1234.59"
"oeils","oeil","NOM","m","p","1234.59"
"yeux","oeil","NOM","m","p","1234.59"
"main","main","NOM","","s","1229.39"
"mains","main","NOM","f","p","1229.39"
"fois","fois","NOM","f","p","1140"
"chose","chose","NOM","f","s","1057.64"
"choses","chose","NOM","f","p","1057.64"
"peu","peu","NOM","m","","1023.38"
"femme","femme","NOM","f","s","995.74"
"femmes","femme","NOM","f","p","995.74"
"heure","heure","NOM","f","s","924.05"
"heures","heure","NOM","f","p","924.05"
"tête","tête","NOM","f","s","923.45"
"têtes","tête","NOM","f","p","923.45"
"vie","vie","NOM","f","s","853.31"
"vies","vie","NOM","f","p","853.31"
"coup","coup","NOM","m","s","837.7"
"coups","coup","NOM","m","p","837.7"
"mère","mère","NOM","f","s","761.28"
"mères","mère","NOM","f","p","761.28"
"monde","monde","NOM","m","s","741.35"
"mondes","monde","NOM","m","p","741.35"
"nuit","nuit","NOM","f","s","738.24"
"nuits","nuit","NOM","f","p","738.24"
"enfant","enfant","NOM","","s","725.68"
"enfants","enfant","NOM","m","p","725.68"
"père","père","NOM","m","s","723.51"
"pères","père","NOM","m","p","723.51"
"air","air","NOM","m","s","690.81"
"airs","air","NOM","m","p","690.81"
"moment","moment","NOM","m","s","688.24"
"moments","moment","NOM","m","p","688.24"
"an","an","NOM","m","s","685.81"
"ans","an","NOM","m","p","685.81"
"porte","porte","NOM","f","s","617.43"
"portes","porte","NOM","f","p","617.43"
"voix","voix","NOM","f","","612.7"
"fille","fille","NOM","f","s","592.23"
"filles","fille","NOM","f","p","592.23"
"maison","maison","NOM","","s","575.34"
"maisons","maison","NOM","f","p","575.34"
"côté","côté","NOM","m","s","566.49"
"côtés","côté","NOM","m","p","566.49"
"visage","visage","NOM","m","s","565"
"visages","visage","NOM","m","p","565"
"rue","rue","NOM","f","s","562.97"
"rues","rue","NOM","","p","562.97"
"soir","soir","NOM","m","s","562.64"
"soirs","soir","NOM","m","p","562.64"
"mot","mot","NOM","m","s","553.78"
"mots","mot","NOM","m","p","553.78"
"bras","bras","NOM","m","","487.97"
"pied","pied","NOM","m","s","486.42"
"pieds","pied","NOM","m","p","486.42"
"corps","corps","NOM","m","","480.34"
"place","place","NOM","f","s","468.58"
"places","place","NOM","f","p","468.58"
"eau","eau","NOM","f","s","459.86"
"eaux","eau","NOM","f","p","459.86"
"terre","terre","NOM","f","s","452.91"
"terres","terre","NOM","f","p","452.91"
"mort","mort","NOM","","","452.7"
"morte","mort","NOM","f","s","452.7"
"mortes","mort","NOM","f","p","452.7"
"morts","mort","NOM","","p","452.7"
"regard","regard","NOM","m","s","423.18"
"regards","regard","NOM","m","p","423.18"
"chambre","chambre","NOM","f","s","413.31"
"chambres","chambre","NOM","f","p","413.31"
"gens","gens","NOM","","p","409.39"
"amour","amour","NOM","m","s","403.92"
"amours","amour","NOM","","p","403.92"
"coeur","coeur","NOM","m","s","400.74"
"coeurs","coeur","NOM","m","p","400.74"
"peine","peine","NOM","f","s","399.53"
"peines","peine","NOM","f","p","399.53"
"bout","bout","NOM","m","s","398.11"
"bouts","bout","NOM","m","p","398.11"
"matin","matin","NOM","m","s","396.76"
"matins","matin","NOM","m","p","396.76"
"dieu","dieu","NOM","m","s","396.49"
"dieux","dieu","NOM","m","p","396.49"
"nom","nom","NOM","m","s","395"
"noms","nom","NOM","m","p","395"
"table","table","NOM","f","s","379.8"
"tables","table","NOM","f","p","379.8"
"fond","fond","NOM","m","s","376.15"
"année","année","NOM","f","s","375.54"
"années","année","NOM","f","p","375.54"
"histoire","histoire","NOM","f","s","359.53"
"histoires","histoire","NOM","f","p","359.53"
"fait","fait","NOM","m","s","355.54"
"faits","fait","NOM","m","p","355.54"
"guerre","guerre","NOM","f","s","354.59"
"guerres","guerre","NOM","f","p","354.59"
"ami","ami","NOM","m","s","354.12"
"amie","ami","NOM","f","s","354.12"
"amies","ami","NOM","f","p","354.12"
"amis","ami","NOM","m","p","354.12"
"ville","ville","NOM","f","s","352.97"
"villes","ville","NOM","f","p","352.97"
"doute","doute","NOM","m","s","350.07"
"doutes","doute","NOM","m","p","350.07"
"force","force","NOM","f","s","344.73"
"forces","force","NOM","f","p","344.73"
"instant","instant","NOM","m","s","340.2"
"instants","instant","NOM","m","p","340.2"
"lit","lit","NOM","m","s","338.18"
"lits","lit","NOM","m","p","338.18"
"soleil","soleil","NOM","m","s","334.39"
