Unnamed: 0,Word,lemme,cgram,genre,freqlemlivres,number
26,sûr,sûr,ADJ,m,412.97,singular
27,sûrs,sûr,ADJ,m,412.97,plural
47,aucun,aucun,ADJ:ind,m,180.95,singular
61,léger,léger,ADJ,m,151.01,singular
78,cher,cher,ADJ,m,133.65,singular
79,chers,cher,ADJ,m,133.65,plural
85,tel,tel,ADJ:ind,m,115.74,singular
157,soudain,soudain,ADJ,m,65.27,singular
163,normal,normal,ADJ,m,62.77,singular
164,normaux,normal,ADJ,m,62.77,plural
184,vain,vain,ADJ,m,57.03,singular
185,vains,vain,ADJ,m,57.03,plural
245,gai,gai,ADJ,m,41.76,singular
246,gais,gai,ADJ,m,41.76,plural
250,totaux,total,ADJ,m,41.62,plural
256,charmants,charmant,ADJ,m,41.15,plural
274,exact,exact,ADJ,m,38.58,singular
275,exacts,exact,ADJ,m,38.58,plural
294,cruel,cruel,ADJ,m,35.88,singular
295,cruels,cruel,ADJ,m,35.88,plural
297,attentif,attentif,ADJ,m,35.74,singular
298,attentifs,attentif,ADJ,m,35.74,plural
310,moraux,moral,ADJ,m,34.53,plural
318,excellents,excellent,ADJ,m,33.92,plural
320,évidents,évident,ADJ,m,33.58,plural
329,familial,familial,ADJ,m,32.84,singular
330,familiaux,familial,ADJ,m,32.84,plural
339,intact,intact,ADJ,m,31.89,singular
353,âgé,âgé,ADJ,m,30.74,singular
354,âgés,âgé,ADJ,m,30.74,plural
362,tels,tels,ADJ:ind,m,30.14,plural
383,intéressants,intéressant,ADJ,m,28.65,plural
438,récent,récent,ADJ,m,23.45,singular
439,récents,récent,ADJ,m,23.45,plural
442,fatal,fatal,ADJ,m,23.38,singular
452,subtil,subtil,ADJ,m,22.91,singular
453,subtils,subtil,ADJ,m,22.91,plural
460,grossier,grossier,ADJ,m,22.57,singular
461,grossiers,grossier,ADJ,m,22.57,plural
467,nouvel,nouvel,ADJ,m,22.23,singular
494,inquiétants,inquiétant,ADJ,m,20.88,plural
504,sexuel,sexuel,ADJ,m,20.54,singular
505,sexuels,sexuel,ADJ,m,20.54,plural
522,sanglants,sanglant,ADJ,m,20.0,plural
523,mûr,mûr,ADJ,m,19.73,singular
524,mûrs,mûr,ADJ,m,19.73,plural
526,surprenants,surprenant,ADJ,m,19.73,plural
527,solennel,solennel,ADJ,m,19.66,singular
531,finaux,final,ADJ,m,19.39,plural
543,successifs,successif,ADJ,m,18.99,plural
564,perpétuel,perpétuel,ADJ,m,18.24,singular
591,urgents,urgent,ADJ,m,16.96,plural
610,postal,postal,ADJ,m,16.76,singular
611,postaux,postal,ADJ,m,16.76,plural
633,mondial,mondial,ADJ,m,16.35,singular
