,lemma,"('singular', 'masculine')","('plural', 'masculine')","('singular', 'feminine')","('plural', 'feminine')","('singular', 'invariable')","('plural', 'invariable')","('invariable', 'masculine')","('invariable', 'invariable')","('invariable', 'feminine')"
0,a-humain,a-humain,,,,,,,,
1,a-raciste,a-raciste,,,,,,,,
2,aalénien,aalénien,aaléniens,aalénienne,aaléniennes,,,,,
3,aaronide,aaronide,,,,,,,,
4,abactérien,abactérien,abactériens,abactérienne,abactériennes,,,,,
5,abaissable,,,,,abaissable,abaissables,,,
6,abaissant,abaissant,abaissants,abaissante,abaissantes,,,,,
7,abaisseur,abaisseur,abaisseurs,abaisseuse,abaisseuses,,,,,
8,abaissé,abaissé,abaissés,abaissée,abaissées,,,,,
9,abandonnique,,,,,abandonnique,abandonniques,,,
10,abandonné,abandonné,abandonnés,abandonnée,abandonnées,,,,,
11,abarticulaire,,,,,abarticulaire,abarticulaires,,,
12,abasourdi,abasourdi,abasourdis,abasourdie,abasourdies,,,,,
13,abasourdissant,abasourdissant,abasourdissants,abasourdissante,abasourdissantes,,,,,
14,abattable,,,,,abattable,abattables,,,
15,abattant,abattant,abattants,abattante,abattantes,,,,,
16,abatteur,abatteur,abatteurs,abatteuse,abatteuses,,,,,
17,abattu,abattu,abattus,abattue,abattues,,,,,
18,abaza,,,,,abaza,abazas,,,
19,abbasside,,,,,abbasside,abbassides,,,
20,abbatial,abbatial,abbatiaux,abbatiale,abbatiales,,,,,
21,abbevillien,abbevillien,abbevilliens,abbevillienne,abbevilliennes,,,,,
22,abbevillois,,,abbevilloise,abbevilloises,,,abbevillois,,
23,abcédant,abcédant,abcédants,abcédante,abcédantes,,,,,
24,abdicataire,,,,,abdicataire,abdicataires,,,
25,abdicatif,abdicatif,abdicatifs,abdicative,abdicatives,,,,,
26,abdominal,abdominal,abdominaux,abdominale,abdominales,,,,,
27,abdominien,abdominien,,,,,,,,
28,abdomino-coraco-huméral,abdomino-coraco-huméral,,,,,,,,
29,abdomino-guttural,abdomino-guttural,,,,,,,,
30,abdomino-génital,abdomino-génital,abdomino-génitaux,abdomino-génitale,abdomino-génitales,,,,,
31,abdomino-huméral,abdomino-huméral,,,,,,,,
32,abdomino-périnéal,abdomino-périnéal,,,,,,,,
33,abdomino-scrotal,abdomino-scrotal,,,,,,,,
34,abdomino-thoracique,,,,,abdomino-thoracique,,,,
35,abdominoscopique,,,,,abdominoscopique,abdominoscopiques,,,
36,abducteur,abducteur,abducteurs,abductrice,abductrices,,,,,
37,abdéritain,abdéritain,abdéritains,abdéritaine,abdéritaines,,,,,
38,abeiller,abeiller,abeillers,abeillère,abeillères,,,,,
39,abeillé,abeillé,abeillés,abeillée,abeillées,,,,,
40,aberrant,aberrant,aberrants,aberrante,aberrantes,,,,,
41,abgal,,,,,abgal,abgals,,,
42,abhorrable,,,,,abhorrable,abhorrables,,,
43,abhorré,abhorré,abhorrés,abhorrée,abhorrées,,,,,
44,abimé,abimé,abimés,abimée,abimées,,,,,
45,abiotique,,,,,abiotique,abiotiques,,,
46,abiétin,abiétin,abiétins,abiétine,abiétines,,,,,
47,abiétiné,abiétiné,abiétinés,abiétinée,abiétinées,,,,,
48,abiétique,,,,,abiétique,abiétiques,,,
49,abiétoformophénolique,,,,,abiétoformophénolique,abiétoformophénoliques,,,
50,abiétoglycérophtalique,,,,,abiétoglycérophtalique,abiétoglycérophtaliques,,,
51,abiétomaléique,,,,,abiétomaléique,abiétomaléiques,,,
52,abject,abject,abjects,abjecte,abjectes,,,,,
53,abjurant,abjurant,abjurants,abjurante,abjurantes,,,,,
54,abjurateur,abjurateur,abjurateurs,abjuratrice,abjuratrices,,,,,
55,abjuratoire,,,,,abjuratoire,abjuratoires,,,
56,abkhaze,,,,,abkhaze,abkhazes,,,
57,ablatif,ablatif,ablatifs,ablative,ablatives,,,,,
58,abluant,abluant,abluants,abluante,abluantes,,,,,
59,ablépharoplastique,,,,,ablépharoplastique,ablépharoplastiques,,,
60,aboli,aboli,abolis,abolie,abolies,,,,,
61,abolissable,,,,,abolissable,abolissables,,,
62,abolitif,abolitif,abolitifs,abolitive,abolitives,,,,,
63,abolitionniste,,,,,abolitionniste,abolitionnistes,,,
64,abominable,,,,,abominable,abominables,,,
65,abondanciste,,,,,abondanciste,abondancistes,,,
66,abondant,abondant,abondants,abondante,abondantes,,,,,
67,abondé,abondé,abondés,abondée,abondées,,,,,
68,abonnable,,,,,abonnable,abonnables,,,
69,abonnataire,,,,,abonnataire,abonnataires,,,
70,abonni,abonni,abonnis,abonnie,abonnies,,,,,
71,abonné,abonné,abonnés,abonnée,abonnées,,,,,
72,aboral,aboral,aboraux,aborale,aborales,,,,,
73,abordable,,,,,abordable,abordables,,,
74,abordeur,abordeur,abordeurs,,,,,,,
75,abordé,abordé,abordés,abordée,abordées,,,,,
76,aborigène,,,,,aborigène,aborigènes,,,
77,aborné,aborné,abornés,abornée,abornées,,,,,
78,abortif,abortif,abortifs,abortive,abortives,,,,,
79,aborto-préventif,aborto-préventif,,,,,,,,
80,abotté,abotté,abottés,abottée,abottées,,,,,
81,aboté,aboté,abotés,abotée,abotées,,,,,
82,abougri,abougri,abougris,abougrie,abougries,,,,,
83,aboulique,,,,,aboulique,abouliques,,,
84,abouti,abouti,aboutis,aboutie,abouties,,,,,
85,aboutissant,aboutissant,aboutissants,aboutissante,aboutissantes,,,,,
86,abouté,abouté,aboutés,aboutée,aboutées,,,,,
87,aboyant,aboyant,aboyants,aboyante,aboyantes,,,,,
88,aboyeur,aboyeur,aboyeurs,aboyeuse,aboyeuses,,,,,
89,aboyé,aboyé,aboyés,aboyée,aboyées,,,,,
90,abracadabrant,abracadabrant,abracadabrants,abracadabrante,abracadabrantes,,,,,
91,abracadabrantesque,,,,,abracadabrantesque,abracadabrantesques,,,
92,abranche,,,,,abranche,abranches,,,
93,abrasif,abrasif,abrasifs,abrasive,abrasives,,,,,
94,abreuvé,abreuvé,abreuvés,abreuvée,abreuvées,,,,,
95,abricot,,,,,,,,abricot,
96,abricoté,abricoté,abricotés,abricotée,abricotées,,,,,
97,abritant,abritant,abritants,abritante,abritantes,,,,,
98,abrité,abrité,abrités,abritée,abritées,,,,,
99,abrogatif,abrogatif,abrogatifs,abrogative,abrogatives,,,,,
100,abrogatoire,,,,,abrogatoire,abrogatoires,,,
101,abrogeable,,,,,abrogeable,abrogeables,,,
102,abrogé,abrogé,abrogés,abrogée,abrogées,,,,,
103,abrotonoïde,,,,,abrotonoïde,abrotonoïdes,,,
104,abrouti,abrouti,abroutis,abroutie,abrouties,,,,,
105,abrupt,abrupt,abrupts,abrupte,abruptes,,,,,
106,abruptipenné,abruptipenné,abruptipennés,abruptipennée,abruptipennées,,,,,
107,abruti,abruti,abrutis,abrutie,abruties,,,,,
108,abrutissant,abrutissant,abrutissants,abrutissante,abrutissantes,,,,,
109,abrutisseur,abrutisseur,abrutisseurs,abrutisseuse,abrutisseuses,,,,,
110,abruzzain,abruzzain,abruzzains,abruzzaine,abruzzaines,,,,,
111,abruzzais,abruzzais,,abruzzaise,,,abruzzaises,,,
112,abrégeable,,,,,abrégeable,abrégeables,,,
113,abrégé,abrégé,abrégés,abrégée,abrégées,,,,,
114,abréviateur,abréviateur,abréviateurs,abréviatrice,abréviatrices,,,,,
115,abréviatif,abréviatif,abréviatifs,abréviative,abréviatives,,,,,
116,abrévié,abrévié,abréviés,abréviée,abréviées,,,,,
117,absalonien,absalonien,absaloniens,absalonienne,absaloniennes,,,,,
118,abscissique,,,,,abscissique,abscissiques,,,
119,abscons,,,absconse,absconses,,,abscons,,
120,absent,absent,absents,absente,absentes,,,,,
121,absentéiste,,,,,absentéiste,absentéistes,,,
122,absidal,absidal,absidaux,absidale,absidales,,,,,
123,absidial,absidial,absidiaux,absidiale,absidiales,,,,,
124,absinthique,,,,,absinthique,absinthiques,,,
125,absinthé,absinthé,absinthés,absinthée,absinthées,,,,,
126,absolu,absolu,absolus,absolue,absolues,,,,,
127,absoluteur,absoluteur,absoluteurs,absolutrice,absolutrices,,,,,
128,absolutif,absolutif,absolutifs,absolutive,absolutives,,,,,
129,absolutionnel,absolutionnel,absolutionnels,absolutionnelle,absolutionnelles,,,,,
130,absolutiste,,,,,absolutiste,absolutistes,,,
131,absolutoire,,,,,absolutoire,absolutoires,,,
132,absolvant,absolvant,absolvants,absolvante,absolvantes,,,,,
133,absorbable,,,,,absorbable,absorbables,,,
134,absorbant,absorbant,absorbants,absorbante,absorbantes,,,,,
135,absorbeur,absorbeur,absorbeurs,absorbeuse,absorbeuses,,,,,
136,absorbé,absorbé,absorbés,absorbée,absorbées,,,,,
137,absorptif,absorptif,absorptifs,absorptive,absorptives,,,,,
138,absout,absout,absouts,absoute,absoutes,,,,,
139,abstentionniste,,,,,abstentionniste,abstentionnistes,,,
140,abstergent,abstergent,abstergents,abstergente,abstergentes,,,,,
141,abstersif,abstersif,abstersifs,abstersive,abstersives,,,,,
142,abstinent,abstinent,abstinents,abstinente,abstinentes,,,,,
143,abstracteur,abstracteur,abstracteurs,abstractrice,abstractrices,,,,,
144,abstractif,abstractif,abstractifs,abstractive,abstractives,,,,,
145,abstractionniste,,,,,abstractionniste,abstractionnistes,,,
146,abstrait,abstrait,abstraits,abstraite,abstraites,,,,,
147,abstrayant,abstrayant,abstrayants,abstrayante,abstrayantes,,,,,
148,abstrus,,,abstruse,abstruses,,,abstrus,,
149,abstème,,,,,abstème,abstèmes,,,
150,absurde,,,,,absurde,absurdes,,,
