,lemma,locution
0,a contrario,oui
1,a fortiori,oui
2,a latere,oui
3,a minima,oui
4,a posteriori,oui
5,a priori,oui
6,a tempera,non
7,ab absurdo,oui
8,ab origine,oui
9,abandonnément,non
10,abjectement,non
11,ablativo,non
12,abominablement,non
13,abondamment,non
14,aboralement,non
15,abouliquement,non
16,abracadabra,non
17,abruptement,non
18,abrégément,non
19,abréviativement,non
20,absconsement,non
21,absconsément,non
22,absolument,non
23,abstractivement,non
24,abstraitement,non
25,abstrusément,non
26,absurdement,non
27,abusivement,non
28,académiquement,non
29,acariâtrement,non
30,accelerando,non
31,acceptablement,non
32,accessoirement,non
33,accidentellement,non
34,accortement,non
35,accélérando,non
36,acerbement,non
37,acidement,non
38,acoustiquement,non
39,acrimonieusement,non
40,acrobatiquement,non
41,actiniquement,non
42,activement,non
43,actuellement,non
44,ad hoc,oui
45,ad hominem,oui
46,ad libitum,oui
47,ad limina,oui
48,ad litem,oui
49,ad litteram,oui
50,ad nauseam,oui
51,ad nutum,oui
52,ad patres,oui
53,ad personam,oui
54,ad valorem,oui
55,ad vitam aeternam,oui
56,adagio,non
57,additionnellement,non
58,additivement,non
59,adens,non
60,adent,non
61,adiabatiquement,non
62,adipeusement,non
63,adjectivement,non
64,administrativement,non
65,admirablement,non
66,admirativement,non
67,adonc,non
68,adoncque,non
69,adoncques,non
70,adorablement,non
71,adroitement,non
72,adultérieurement,non
73,adverbialement,non
74,adversativement,non
75,adéquatement,non
76,afanaf,non
77,affablement,non
78,affaireusement,non
79,affectionnément,non
80,affectivement,non
81,affectueusement,non
82,affectuoso,non
83,affetto,non
84,affettuoso,non
85,affetuoso,non
86,affinement,non
87,affirmativement,non
88,affreusement,non
89,afnaf,non
90,agilement,non
91,agitato,non
92,agnostiquement,non
93,agogiquement,non
94,agressivement,non
95,agrestement,non
96,agrochimiquement,non
97,agrologiquement,non
98,agronomiquement,non
99,agréablement,non
100,aguicheusement,non
101,aidant,non
102,aigrement,non
103,aigûment,non
104,ailleurs,non
105,aimablement,non
106,ainsi,non
107,ainsi de suite,oui
108,aisément,non
109,alchimiquement,non
110,alcooliquement,non
111,alentour,non
112,alertement,non
113,algorithmiquement,non
114,algébriquement,non
115,alias,non
116,alimentairement,non
117,allegretto,non
118,allegro,non
119,allergiquement,non
120,allopathiquement,non
121,allusivement,non
